"","LB.Open","LB.High","LB.Low","LB.Close","LB.Volume"
"2015-10-01",90.1,91.39,89.64,91.31,1915796
"2015-10-08",95.96,97.49,95.31,96.53,2803811
"2015-10-15",95.88,96.23,94.85,96.04,1030397
"2015-10-22",96.96,97.18,96.41,96.76,1467360
"2015-10-29",95.36,95.53,93.54,94.72,1044053
"2015-11-05",100.42,100.66,98.45,99.12,2107104
"2015-11-12",92.13,93.71,91.81,93.02,1760133
"2015-11-19",91.23,93.84,90.04,92.13,2788459
"2015-12-03",96.52,97.67,94.93,95.87,1437165
"2015-12-10",97.99,99.27,97.69,97.86,1387543
"2015-12-17",98.35,98.67,96.55,96.58,1153581
"2015-12-24",97.32,97.47,96.49,96.82,257165
"2015-12-31",96.52,96.95,95.8,95.82,1023613
"2016-01-07",94,97.33,93.9,96.52,3865853
"2016-01-14",92.18,94.79,90.67,94.2,2001779
"2016-01-21",90.95,93.71,90.39,93.38,1974700
"2016-01-28",94.96,95.4,93.37,94.48,1378752
"2016-02-04",91.4,93,88.53,88.57,4854912
"2016-02-11",82.81,85.05,82.81,84,2930705
"2016-02-18",81.22,83.82,80.71,83.7,2779671
"2016-02-25",81.15,85.93,81.04,85.67,4409194
"2016-03-03",87.21,87.25,85.15,86.68,2424641
"2016-03-10",86.32,87.03,85.35,86.33,965177
"2016-03-17",85.92,87.03,85.51,86.77,1410874
"2016-03-24",85.19,86.47,85.1,85.79,1177311
"2016-03-31",88.29,88.76,87.58,87.81,1401149
"2016-04-07",86.01,87.16,83.75,84.15,3096922
"2016-04-14",79.57,81.07,79.09,80.87,2742923
"2016-04-21",77.88,78.68,77.02,77.21,2051719
"2016-04-28",79.24,80.08,78.76,79.5,2764933
"2016-05-05",72.52,73.37,70.14,70.53,17167176
"2016-05-12",67.36,67.86,66.99,67.42,2287323
"2016-05-19",60,63.32,60,60.62,10323602
"2016-05-26",66.47,66.59,66.01,66.45,4152820
"2016-06-02",69.8,71.45,69.07,71.33,5401277
"2016-06-09",69.65,69.67,68.27,69.02,1911110
"2016-06-16",67.9,67.96,66.94,67.8,1630485
"2016-06-23",69.29,69.53,68.76,69.15,1744292
"2016-06-30",67.2,67.41,66.33,67.13,2162794
"2016-07-07",68.28,68.61,66.7,67.43,3666188
"2016-07-14",70.55,70.58,69.49,69.86,1123291
"2016-07-21",70.82,71.44,70.5,70.78,1496451
"2016-07-28",73.37,74.02,72.79,73.75,1063570
"2016-08-04",73.43,74.17,72.45,72.81,2432508
"2016-08-11",73.37,75.36,72.89,73.8,1629895
"2016-08-18",76.83,78.47,75.6,77.87,5516470
"2016-08-25",76.94,77.72,76.57,76.93,1370264
"2016-09-01",76.91,77.54,74.15,74.81,2317613
"2016-09-08",73.81,74.14,73.11,73.34,1155735
"2016-09-15",71.08,72.33,70.65,71.93,1106715
