"","CELG.Open","CELG.High","CELG.Low","CELG.Close","CELG.Volume"
"2014-07-17",85.45,86.19,82.9,83.13,5367951
"2014-07-24",87.26,87.76,84.25,86.19,8675092
"2014-07-31",87.87,88.41,86.85,87.15,5050758
"2014-08-07",85.74,86.48,84.85,85.22,3829686
"2014-08-14",88.46,89.66,88.11,88.46,4140220
"2014-08-21",92.02,92.64,91.46,91.66,3175026
"2014-08-28",94,95.25,93.75,94.7,2732983
"2014-09-04",95.23,95.39,93.7,93.93,3321840
"2014-09-11",93.68,93.95,90.9,91.96,5857799
"2014-09-18",92.98,93.33,92.17,93.27,2720478
"2014-09-25",96.21,96.5,92.91,93.16,6367786
"2014-10-02",92.93,93.64,91.5,92.81,4077126
"2014-10-09",94.77,94.81,91.85,92.38,5174434
"2014-10-16",84.54,87.57,84.01,86.38,5616278
"2014-10-23",95.98,100.91,95.6,100.4,9678166
"2014-10-30",104.7,107.35,104.18,106.94,5770721
"2014-11-06",105.7,107.22,105.23,107.14,4077783
"2014-11-13",108.28,109.17,106.54,107.43,3268300
"2014-11-20",105.76,107.92,105.6,107.35,3863228
"2014-12-04",113.79,114.63,112.93,113.63,3102947
"2014-12-11",116.61,118.61,116.33,116.74,4103764
"2014-12-18",115.2,116.5,114.56,116.48,6100915
"2015-01-08",116.67,117.45,114.59,115.05,5978322
"2015-01-15",122.17,122.55,117.62,118.27,5813932
"2015-01-22",122.65,123.87,120.5,123.71,4217703
"2015-01-29",119.58,121.09,116.55,120.87,4927992
"2015-02-05",117.05,120.58,117.05,120.02,4595071
"2015-02-12",119.2,119.22,114.75,115.72,9808819
"2015-02-19",118.33,120.94,118.33,120.21,4691025
"2015-02-26",123.28,123.82,121.7,123.35,3336100
"2015-03-05",120.48,121.76,119.76,120.71,3583196
"2015-03-12",118.18,119.07,117.52,118.82,3086669
"2015-03-19",123.8,125.58,123.65,125.33,6037591
"2015-03-26",115.28,119.39,114.02,117.66,8126950
"2015-04-02",115,115.56,113.75,114.31,4852469
"2015-04-09",115.37,116.6,114.33,115.58,4039244
"2015-04-16",117.62,118.45,115.89,116.36,4344624
"2015-04-23",115,116.56,114.68,116.09,3251041
"2015-04-30",109.5,110.94,107.02,108.06,12995517
"2015-05-07",109.59,114.29,109.25,112.01,9130253
"2015-05-14",114.26,115.4,112.67,115.08,3821327
"2015-05-21",116.4,117.48,115.95,116.2,3926877
"2015-05-28",115.84,116.23,114.35,114.93,2811742
"2015-06-04",112.24,112.8,109.92,110.92,5450362
"2015-06-11",112.36,113.3,112.25,112.97,3199212
"2015-06-18",112.46,117.08,112.25,116.92,6933969
"2015-06-25",119.8,120.45,118.57,118.81,2955057
"2015-07-02",118.56,119.89,118.52,119.52,4288088
"2015-07-09",117.45,117.78,116.37,116.87,3205198
"2015-07-16",132.1,135.55,131.5,134.72,8411356
"2015-07-23",137.77,140.72,136.5,139.01,5594033
"2015-07-30",132.31,132.55,128.81,131.88,5039550
"2015-08-06",133,133.5,127.82,128.05,4657674
"2015-08-13",131.45,132.6,130.1,130.3,3252543
"2015-08-20",127.42,128.49,124.82,124.96,5081660
"2015-08-27",120.97,123.33,119.25,123.04,5763737
"2015-09-03",120.08,121.14,117.09,117.65,3690126
"2015-09-10",120.67,123.99,120.34,122.97,3788478
"2015-09-17",124,126.98,122.7,125.73,4212613
"2015-09-24",116.83,116.92,112.37,113.88,7304119
"2015-10-01",110.43,113.08,107.51,112.86,9390815
"2015-10-08",116.36,118.65,113.1,117.97,4591629
"2015-10-15",113.21,117.6,112.25,117.53,4526313
"2015-10-22",116.52,118.05,114.23,117.26,4462355
"2015-10-29",127.63,128.39,124.17,124.93,3657173
"2015-11-05",122.5,122.5,118.61,120.46,8611555
"2015-11-12",111.99,112,108.98,109.02,5350065
"2015-11-19",115.99,116.24,113.57,114.15,3679941
"2015-12-03",111.65,111.8,106,106.55,6339702
"2015-12-10",111.22,113.5,110.59,112.42,3023543
"2015-12-17",116,116.29,112.07,112.17,3606078
"2015-12-24",121.21,122.97,120.5,122.14,2382297
"2015-12-31",119.89,121.83,119.59,119.76,3550976
"2016-01-07",114.21,115.47,111.6,111.89,5530297
"2016-01-14",101.34,107.18,99.44,105.62,8378346
"2016-01-21",108.22,109.41,105.4,105.46,8623950
"2016-01-28",101.51,102.35,95.1,97.21,13823720
"2016-02-04",99.43,103.69,98.75,101.93,7865175
"2016-02-11",100.21,102.15,98.36,99.59,7488644
"2016-02-18",105.5,106,103.22,103.52,4453458
"2016-02-25",103.05,103.27,101.16,102.35,4942829
"2016-03-03",104.08,104.35,102.48,102.73,4097483
"2016-03-10",101.44,102.32,99.1,100.06,5855356
"2016-03-17",97.04,97.63,94.39,96.69,9016921
"2016-03-24",99.21,101.98,98.1,100.54,3760679
