"","MKC.Open","MKC.High","MKC.Low","MKC.Close","MKC.Volume"
"2015-04-02",76.35,77.33,76.35,76.86,856266
"2015-04-09",77.84,78.14,77.33,77.88,623421
"2015-04-16",77.52,77.7,77.16,77.48,687609
"2015-04-23",76.55,76.96,76.2,76.22,507889
"2015-04-30",75.5,76.04,75.11,75.3,881330
"2015-05-07",75.7,76.78,75.45,76.59,549501
"2015-05-14",77.67,78.99,77.64,78.95,616231
"2015-05-21",79.3,79.46,78.98,79.38,432732
"2015-05-28",78.9,79.01,78.38,78.87,304240
"2015-06-04",77.99,78.04,77.13,77.21,453457
"2015-06-11",77.2,77.38,77.01,77.14,313570
"2015-06-18",78.51,79.53,78.26,79.11,484752
"2015-06-25",82.39,82.39,81.34,81.55,581888
"2015-07-02",79.58,80.41,79.22,79.96,1245022
"2015-07-09",80.08,80.23,79.33,79.39,987478
"2015-07-16",80.51,80.78,80.23,80.6,464362
"2015-07-23",80.46,80.67,80,80.1,451995
"2015-07-30",81.08,82.06,80.84,82.01,620481
"2015-08-06",83.69,83.69,82.98,83.43,469352
"2015-08-13",84.67,84.99,84.36,84.51,518996
"2015-08-20",83.16,83.37,81.93,81.99,656487
"2015-08-27",78.56,79.14,77.92,79.07,760083
"2015-09-03",79.42,80.69,79.2,80.08,768891
"2015-09-10",79.92,80.78,79.72,80.06,550421
"2015-09-17",83.05,84.17,82.83,83.21,869027
"2015-09-24",82.26,83.25,81.76,83.15,653811
"2015-10-01",79.98,80.93,77.65,78.68,2435628
"2015-10-08",81.4,83.27,81.32,82.75,707919
"2015-10-15",82.34,82.54,81.5,81.81,716466
"2015-10-22",83.35,85.86,82.84,85.55,829733
"2015-10-29",84.06,84.77,83.69,84.64,488860
"2015-11-05",85.2,86.21,85.05,85.86,669441
"2015-11-12",83.89,84.32,82.28,82.35,547789
"2015-11-19",84.93,85.57,84.15,84.72,486029
"2015-12-03",85.47,86.15,83.95,84.54,644969
"2015-12-10",86.06,86.13,85.12,85.18,652415
"2015-12-17",86.33,86.33,84.79,84.79,1227950
"2015-12-24",86.71,87.01,86.27,86.7,229262
"2015-12-31",86.17,86.28,85.45,85.56,352855
"2016-01-07",83.8,84.31,83.11,83.69,791939
"2016-01-14",84.95,85.63,84.28,85.03,819206
"2016-01-21",80.3,80.69,78.55,79.78,1251867
"2016-01-28",82.75,86.4,82.45,85.41,1726074
"2016-02-04",86.9,87.4,85.28,85.83,832239
"2016-02-11",89.47,90.84,88.77,90.34,1055287
"2016-02-18",90.65,91.04,89.36,90.93,737933
"2016-02-25",92.94,94.17,92.88,94.1,521497
"2016-03-03",93.2,93.77,92.55,93.75,517113
"2016-03-10",94.36,94.41,92.36,93.65,484437
"2016-03-17",94.84,96.19,94.55,95.74,829039
"2016-03-24",95.52,96.46,95.14,96.33,1030155
"2016-03-31",99.7,99.94,99.12,99.48,1291069
"2016-04-07",99.07,99.91,98.62,99.42,892339
"2016-04-14",96.75,96.97,94.81,94.83,1625241
"2016-04-21",93.48,93.5,91.2,91.39,1413779
"2016-04-28",92.59,93.68,92.39,93.37,642070
"2016-05-05",94.66,95.72,94.64,94.8,462288
"2016-05-12",97.52,98.89,97.52,98.85,521101
"2016-05-19",95,96.15,94.67,96.07,534135
"2016-05-26",96.82,97.85,96.49,97.52,477407
