"","MCK.Open","MCK.High","MCK.Low","MCK.Close","MCK.Volume"
"2015-08-13",215.21,216.39,214.2,214.29,841372
"2015-08-20",213.43,214.23,210.33,210.49,944428
"2015-08-27",200.36,201.25,195.43,198.87,2226470
"2015-09-03",198.2,199.52,194.16,194.97,2070770
"2015-09-10",192.6,196.26,190.97,195.11,2900902
"2015-09-17",204.02,207.49,202.66,204.7,1434978
"2015-09-24",196.78,198.11,193.49,197.24,1395144
"2015-10-01",184.76,186.24,183.02,186.07,2006156
"2015-10-08",184.42,187.03,183.39,186.29,2010838
"2015-10-15",190.25,193.99,189.89,193.75,1541932
"2015-10-22",187.65,188.02,177.55,181.44,3640037
"2015-10-29",187.14,188,180.4,186.25,2745235
"2015-11-05",181.83,186.25,180.86,185.94,1996353
"2015-11-12",183,184.98,179.97,180.1,1420843
"2015-11-19",187.5,188.89,184.65,185.36,1573006
"2015-12-03",190.05,191.98,187.08,190.3,2671290
"2015-12-10",188,191.41,186.03,190.48,1303924
"2015-12-17",191.04,192.15,189.87,190.02,937706
"2015-12-24",199.61,200.3,199.01,199.41,495318
"2015-12-31",198.53,200.57,197.22,197.23,1976082
"2016-01-07",189.75,190.33,187.67,187.81,1909158
"2016-01-14",157.64,166.2,157.55,164.78,3069074
"2016-01-21",170,172.5,168.6,170.45,2162659
"2016-01-28",154.79,165.08,152.22,160.12,4194434
"2016-02-04",151.74,157.78,149.55,153.81,2668884
"2016-02-11",150.71,152.06,148.54,150.03,2998181
"2016-02-18",155.15,156.68,154.89,155.96,1288135
"2016-02-25",155.94,156.83,153.51,155.37,1142138
"2016-03-03",158.16,163.04,157.66,162.7,1481159
"2016-03-10",162.67,163.66,159.68,161.12,1333238
"2016-03-17",155,155.7,149.6,151.69,3452822
"2016-03-24",154.02,158.4,153.94,157.29,1507426
"2016-03-31",157.96,159.84,157.11,157.25,1198965
"2016-04-07",162.34,163.06,159.84,161.25,1475836
"2016-04-14",166.95,169.47,165.51,168.59,1801224
"2016-04-21",177.65,178.87,177.11,178.03,1079438
"2016-04-28",176.5,176.61,169.13,169.33,3006696
"2016-05-05",171.8,178.5,169.48,172.7,3987269
"2016-05-12",169.27,170.04,166.23,167.3,894015
"2016-05-19",179.54,183.93,178.4,180.96,3401419
"2016-05-26",182.43,183.32,179.47,179.57,1545716
"2016-06-02",184.93,187.98,184.63,187.79,1681814
"2016-06-09",187.41,187.99,185.68,186.88,1356390
"2016-06-16",179,180.2,176.61,179.75,1184230
"2016-06-23",183.36,184.81,182.93,184,1160550
"2016-06-30",183.49,186.76,182.54,186.65,1580840
"2016-07-07",191.88,193.6,190.08,191.2,1255378
"2016-07-14",198.88,199.43,197.51,198.03,1063381
"2016-07-21",198.44,198.94,195.92,196.5,1209733
"2016-07-28",191.31,196.91,190.88,193.44,2661107
"2016-08-04",194.64,195.35,193.5,194.48,932368
"2016-08-11",196.53,196.86,195.29,196.62,761474
"2016-08-18",195.34,195.95,194.22,194.43,1085623
"2016-08-25",187.04,187.9,182.01,183.3,2898217
"2016-09-01",184.72,184.72,182.13,183.27,796655
"2016-09-08",184.52,185.21,182.88,183.04,1353609
"2016-09-15",167.84,169.84,163.97,168.97,5116645
