"","IDXX.Open","IDXX.High","IDXX.Low","IDXX.Close","IDXX.Volume"
"2014-11-20",73.86,74.52,73.35,73.93,780956
"2014-12-04",74.05,75.07,73.75,74.36,686370
"2014-12-11",74.03,75.08,73.58,74.54,715384
"2014-12-18",73.06,74,72.31,73.99,578006
"2015-01-08",75.12,75.72,74.84,75.42,959934
"2015-01-15",80.22,80.76,78.96,79.16,930634
"2015-01-22",80,83.27,79.38,82.67,1009166
"2015-01-29",81.65,82.12,80.6,81.66,900246
"2015-02-05",78.05,78.7,77.8,77.99,599460
"2015-02-12",78.74,79.16,77.68,78.68,699154
"2015-02-19",77.95,78.72,77.73,78.27,425820
"2015-02-26",78.66,79.21,78.08,79.02,459382
"2015-03-05",78.8,79.85,78.32,78.94,718148
"2015-03-12",75.01,75.32,74.31,75.16,479386
"2015-03-19",75.7,77.86,75.21,77.22,638628
"2015-03-26",74.48,75.66,74.02,75.08,343360
"2015-04-02",76.02,76.82,75.74,76.54,398968
"2015-04-09",77.02,77.03,75.69,76.39,232180
"2015-04-16",75.1,76.11,74.89,76,325384
"2015-04-23",77.5,81,77.5,79.7,834148
"2015-04-30",65.02,65.3,62.5,62.68,1908006
"2015-05-07",64.25,65.98,64.12,65.13,1209310
"2015-05-14",65.94,66.91,65.06,66.64,560434
"2015-05-21",68.4,69.06,67.48,69.02,673444
"2015-05-28",68.74,68.84,66.9,68.02,1145752
"2015-06-04",66.02,66.68,65.58,66.2,829028
"2015-06-11",65.18,65.88,64.8,65.4,704066
"2015-06-18",66.47,67.95,66.47,67.26,611372
"2015-06-25",65.12,65.63,64.26,64.38,608770
"2015-07-02",62.96,63.48,62.09,62.4,768366
"2015-07-09",62.51,63.45,62.31,62.87,688198
"2015-07-16",64.76,64.89,63.01,63.83,718659
"2015-07-23",70.88,71.17,66.79,67.05,2217644
"2015-07-30",66,73.47,65.06,71.34,2015874
"2015-08-06",75.98,77.7,74.87,75.21,1514693
"2015-08-13",77.21,77.76,76.51,77.16,360646
"2015-08-20",77.17,77.34,75.77,75.83,555409
"2015-08-27",73.02,73.48,71.61,73.42,406592
"2015-09-03",72.95,73.68,72.2,72.97,563278
"2015-09-10",74.48,75.93,74.19,75.33,536067
"2015-09-17",77.17,79.11,76.82,77.92,534269
"2015-09-24",76.05,76.53,75.14,76.08,377045
"2015-10-01",74.08,74.47,72.19,73.68,901462
"2015-10-08",72.35,73.44,70.97,73.2,464167
"2015-10-15",71.25,73.55,71.18,73.36,406463
"2015-10-22",75.03,75.1,71.67,73.3,647961
"2015-10-29",67.92,71.9,66.89,69.96,2225209
"2015-11-05",70.12,70.91,69.2,70.7,409129
"2015-11-12",69.64,69.77,67.13,67.21,753628
"2015-11-19",68.59,69.38,68.03,69.06,423299
"2015-12-03",71.96,72.57,69.85,70.02,464987
"2015-12-10",69.16,69.61,68,69.05,370456
"2015-12-17",70.04,70.2,69.41,69.83,377899
"2015-12-24",72.48,73.24,71.91,72.95,204002
"2015-12-31",73.53,74.17,72.9,72.92,361894
"2016-01-07",70.49,70.74,69.6,69.81,666119
"2016-01-14",67.48,68.36,66.7,68.1,876444
"2016-01-21",66.71,67.24,65.39,65.58,1005916
"2016-01-28",65.61,65.68,63.48,64.67,847002
"2016-02-04",71.59,72.37,70.72,70.92,722293
"2016-02-11",68.66,69.55,67,67.27,679840
"2016-02-18",71.52,71.52,70.03,70.63,436113
"2016-02-25",71.73,73.21,71.58,73.16,467776
"2016-03-03",75.21,75.88,74.37,75.5,570179
"2016-03-10",78.38,78.38,76.66,77.41,535188
"2016-03-17",74.1,74.87,72.29,74.62,649055
"2016-03-24",75.4,75.74,74.48,75.59,416384
"2016-03-31",77.5,79.03,75.03,78.32,625834
"2016-04-07",80,80.56,78.9,80.48,921957
"2016-04-14",80.36,80.77,79.29,79.82,1025269
"2016-04-21",80.82,81.23,80.17,80.73,812236
"2016-04-28",81.52,82.06,80.57,80.79,803372
"2016-05-05",84.48,86.61,84.48,86.13,750444
