"","HRS.Open","HRS.High","HRS.Low","HRS.Close","HRS.Volume"
"2015-09-17",74.58,75.54,74.2,74.65,1126348
"2015-09-24",71.84,72.28,71.2,71.55,950172
"2015-10-01",72.99,73.62,72.68,73.24,1299714
"2015-10-08",74.43,75.66,74.35,75.5,478114
"2015-10-15",76.53,76.61,75.27,76.44,654996
"2015-10-22",75.71,76.51,75.57,76,719201
"2015-10-29",78.24,79.81,77.88,79.37,1024759
"2015-11-05",79.78,80.22,78.93,79.49,1042834
"2015-11-12",78.87,79.31,78.68,78.71,767563
"2015-11-19",82.16,83.26,82,83.21,606113
"2015-12-03",83.88,83.92,82.45,82.92,1060796
"2015-12-10",82.9,84,82.54,83.19,1307879
"2015-12-17",84.25,84.6,82.87,83.12,823155
"2015-12-24",87.82,89.78,87.82,89.48,728903
"2015-12-31",87.21,87.66,86.69,86.9,594241
"2016-01-07",85.85,87.62,85.52,86.24,2098271
"2016-01-14",85.53,85.54,84.25,84.49,1533594
"2016-01-21",83.69,84.56,82.43,82.85,1081292
"2016-01-28",85.04,85.49,83.95,84.79,890326
"2016-02-04",77.72,79.82,77.58,78.84,1452053
"2016-02-11",71.72,72.4,70.97,71.71,1062035
"2016-02-18",74.35,76.1,74.22,74.35,724754
"2016-02-25",75.93,76.36,75.21,76.14,752288
"2016-03-03",79.75,80.68,79.57,80.47,848856
"2016-03-10",79.9,81.13,78.79,79.64,852248
"2016-03-17",78.3,79.19,77.93,78.52,1003426
"2016-03-24",78.6,79.35,77.8,78.16,780776
"2016-03-31",78.63,79.1,77.34,77.86,1351099
"2016-04-07",76.21,76.81,75.72,76.33,1480228
"2016-04-14",78.18,78.46,77.52,77.65,939894
"2016-04-21",79.45,79.88,78.69,78.95,733231
"2016-04-28",80.23,80.72,79.81,80.05,690230
"2016-05-05",74.49,74.86,73.89,74.78,1038039
"2016-05-12",76.28,76.56,75.61,76.11,633909
"2016-05-19",76.86,77.57,76.55,77.51,848827
"2016-05-26",79.5,80.22,79.5,79.76,736353
"2016-06-02",79.56,79.85,79.17,79.77,473951
"2016-06-09",81.49,81.93,81.04,81.22,543436
"2016-06-16",80.65,82.08,80.25,81.99,1254427
"2016-06-23",84.38,84.75,83.65,84.14,766559
"2016-06-30",82.47,83.45,81.62,83.44,1025271
"2016-07-07",82.75,83.13,82.1,82.27,515844
"2016-07-14",86,86.22,85.5,85.56,557998
"2016-07-21",86.02,86.36,85.64,85.93,457946
"2016-07-28",85.79,86.66,85.59,86.53,423592
"2016-08-04",88.06,88.49,87.75,88.25,842233
"2016-08-11",89.98,90,89.24,89.88,583228
"2016-08-18",89.92,90.75,89.89,90.64,375453
"2016-08-25",91.2,91.53,90.81,91.27,662033
"2016-09-01",93.22,93.61,92.34,92.85,826475
"2016-09-08",93.18,93.29,92.53,92.8,486093
"2016-09-15",89.33,90.45,89.12,90.33,729793
