"","SLB.Open","SLB.High","SLB.Low","SLB.Close","SLB.Volume"
"2015-04-23",92.32,93.94,92.32,93.05,6192534
"2015-04-30",94.23,95.13,93.43,94.61,8166595
"2015-05-07",91.61,91.68,89.57,90.23,8670070
"2015-05-14",92.8,93.25,91.9,92.17,5266416
"2015-05-21",91.36,92.67,90.78,92.03,5117024
"2015-05-28",90.66,90.84,89.72,90.65,4400280
"2015-06-04",90.84,91.34,90,90.07,6451771
"2015-06-11",91.63,91.68,90.54,90.67,5134637
"2015-06-18",90.09,90.55,88.6,88.63,7862814
"2015-06-25",87.36,87.72,86.67,86.67,5865803
"2015-07-02",84.6,84.89,83.94,84.01,7607217
"2015-07-09",84.28,84.34,83.33,83.55,7410506
"2015-07-16",84.58,84.76,83.67,83.89,6623529
"2015-07-23",85.23,86.61,84.92,86.02,6419279
"2015-07-30",84.06,84.42,83.08,83.52,4653503
"2015-08-06",82.13,84.19,81.75,83.59,8265712
"2015-08-13",84.39,84.69,83.44,84.09,5908478
"2015-08-20",80.47,81.83,79.44,79.44,8369087
"2015-08-27",72.3,73.99,70.9,73.85,28203900
"2015-09-03",76.16,77.52,75.02,76.26,11043272
"2015-09-10",74.55,74.84,72.89,74.07,8237017
"2015-09-17",76.16,76.82,75.08,75.3,8435358
"2015-09-24",71.39,73.42,71.11,72.69,7584145
"2015-10-01",70.11,70.99,67.41,67.65,12017727
"2015-10-08",75.28,76.92,74.41,76.64,8421635
"2015-10-15",75.36,76.27,73.88,76.16,10990900
"2015-10-22",76.37,78.52,76.24,78.26,9081974
"2015-10-29",78.73,79.95,78.37,78.69,6590099
"2015-11-05",79.74,80.72,78.61,78.8,6718393
"2015-11-12",76.35,77.79,75.91,76.6,8057249
"2015-11-19",77.73,78.7,77.63,77.92,6667015
"2015-12-03",76.46,76.62,74.14,74.81,8292735
"2015-12-10",71.79,73.23,71.4,71.48,7200947
"2015-12-24",70.9,71.21,70.37,70.53,2968765
"2015-12-31",69.37,70.38,69,69.75,5271122
"2016-01-07",66.23,67.76,65.8,66.19,12041043
"2016-01-14",64.36,65.34,61.75,64.68,13802473
"2016-01-21",61.21,63.47,60.37,61.45,12895586
"2016-01-28",68.23,69.6,67.24,69.51,16433943
"2016-02-04",71.53,72.87,70.31,70.54,10854891
"2016-02-11",66.3,69.45,66.1,68.83,12077586
"2016-02-18",73.73,73.73,72.32,72.68,8122325
"2016-02-25",71.93,72.35,70.65,72.35,6356615
"2016-03-03",74.04,74.96,73.78,74.85,7811418
"2016-03-10",72.8,73.35,72.12,73.18,7049654
"2016-03-17",74.11,75,73.54,74.54,7047470
"2016-03-24",71.91,72.66,71.5,72.58,8184245
"2016-03-31",74.29,75.03,73.48,73.75,8602697
"2016-04-07",72.51,72.94,71.69,72.01,7466981
"2016-04-14",77.46,77.66,76.57,77.16,5349667
"2016-04-21",80.88,81.96,80.16,80.27,8255468
"2016-04-28",79.99,81.32,79.43,79.78,6659925
"2016-05-05",76.76,76.91,74.93,75.4,7306638
"2016-05-12",74.24,74.84,73.6,74.09,5058099
"2016-05-19",72.57,74.36,72,74.2,8874796
"2016-05-26",78.38,78.98,77.68,77.88,7916591
"2016-06-02",75.47,75.71,74.61,75.45,4827263
"2016-06-09",79.47,80.12,79.31,79.96,5030232
"2016-06-16",76.15,76.48,74.92,76.34,6033091
"2016-06-23",78.99,79.59,78.69,79.59,4734419
"2016-06-30",77.96,79.14,77.85,79.08,4941269
"2016-07-07",78.3,79.22,77.01,77.7,4922481
"2016-07-14",79.77,79.93,78.98,79.1,3817559
"2016-07-21",80.51,81.36,79.66,80.02,6220684
"2016-07-28",79.77,80.51,78.6,79.05,5567296
"2016-08-04",79.6,80.41,79.11,80.39,8183088
"2016-08-11",81.14,82.41,80.97,81.5,4385446
"2016-08-18",82.48,83.97,82.36,83.86,5466973
"2016-08-25",81.39,81.73,81.03,81.34,3767057
"2016-09-01",78.44,79.13,78.24,78.96,6705181
"2016-09-08",78.99,79.76,78.23,79.38,4845341
"2016-09-15",76.16,77.15,76.09,76.8,5209370
