"","HAL.Open","HAL.High","HAL.Low","HAL.Close","HAL.Volume"
"2016-06-16",43.36,43.53,42.47,43.19,10109210
"2016-06-23",45.28,45.86,44.94,45.84,8136701
"2016-06-30",44.48,45.38,44.34,45.29,9742051
"2016-07-07",44.02,44.92,43.21,43.55,8516273
"2016-07-14",45.9,46.09,45.66,45.81,6803673
"2016-07-21",44.28,44.75,43.25,43.54,9371047
"2016-07-28",42.81,43.4,42.51,42.77,7411770
"2016-08-04",42.71,43.3,42.55,42.99,5156319
"2016-08-11",43.94,44.42,43.87,44.08,5273325
"2016-08-18",45.44,46.55,45.38,46.46,12196697
"2016-08-25",44.51,44.79,44.15,44.57,4098904
"2016-09-01",43.01,43.29,42.57,43.21,5274421
"2016-09-08",43.92,44.35,43.48,44.12,6212635
"2016-09-15",41.39,42.12,41.21,41.77,6862951
