"","ROST.Open","ROST.High","ROST.Low","ROST.Close","ROST.Volume"
"2016-01-07",52.97,55.11,52.5,53.76,3774739
"2016-01-14",52.42,53.37,51.72,52.82,3197611
"2016-01-21",52.32,52.68,51.96,52.23,3216224
"2016-01-28",54.26,54.43,53.23,53.95,2176827
"2016-02-04",54.44,54.79,53.35,54.48,4128198
"2016-02-11",53.22,53.61,52.16,52.56,3452356
"2016-02-18",54.77,55.11,54.29,54.82,3195906
"2016-02-25",56.55,56.77,55.71,56.54,2797267
"2016-03-03",58.27,58.43,56.07,57.85,4009491
"2016-03-10",56.28,57.56,56.16,57.21,3016479
"2016-03-17",57.99,58.57,57.66,58.53,2112057
"2016-03-24",58.35,58.5,56.88,57.41,2522485
"2016-03-31",58.34,58.77,57.85,57.9,1976101
"2016-04-07",58.09,58.53,56.4,56.7,2970010
"2016-04-14",56.46,57.07,56.02,56.98,2681181
"2016-04-21",57.63,58.1,57.2,57.25,2285430
"2016-04-28",57.99,58.22,57.31,57.44,1995629
"2016-05-05",57.51,57.9,56.44,56.47,1897042
"2016-05-12",54.54,55.35,53.87,55.09,3635438
"2016-05-19",54.63,55.86,54.62,55.52,5377467
"2016-05-26",53.71,54.44,53.54,53.88,2566722
"2016-06-02",53.34,53.77,53.2,53.69,2216372
"2016-06-09",53.32,54.5,52.93,54.22,4723850
"2016-06-16",54.13,54.57,54,54.43,2272556
"2016-06-23",54.69,54.98,53.82,54.07,2249085
"2016-06-30",55.86,56.73,55.61,56.69,2604455
"2016-07-07",56.53,56.81,56.31,56.56,1762049
"2016-07-14",58.24,58.26,57.8,58.02,1862314
"2016-07-21",59.32,59.5,58.9,59.22,1570395
"2016-07-28",61.4,61.7,60.9,61.33,2405926
"2016-08-04",61.44,61.8,61.17,61.49,2060450
"2016-08-11",61.72,62.37,61.09,61.96,2441674
"2016-08-18",62.49,63.65,62.3,62.88,4835301
"2016-08-25",63.83,64.02,62.9,63.41,3491973
"2016-09-01",62.46,62.51,61.63,62.38,1813488
"2016-09-08",62.64,63,62.45,62.72,2082880
"2016-09-15",61.09,62.09,60.84,61.95,1846312
