"","ECL.Open","ECL.High","ECL.Low","ECL.Close","ECL.Volume"
"2016-05-19",115.86,116.27,114.99,116.16,914116
"2016-05-26",118.85,119.09,118.04,118.2,846003
"2016-06-02",117.95,118.87,117.5,118.87,763351
"2016-06-09",121.14,121.48,120.48,120.79,841089
"2016-06-16",118.33,119.5,117.64,119.32,1120054
"2016-06-23",120.79,121.17,120.25,120.94,807312
"2016-06-30",116.84,118.98,116.57,118.6,1706172
"2016-07-07",117.95,118.86,117.39,117.59,900062
"2016-07-14",120.94,121.75,120.94,121.27,721181
"2016-07-21",119.58,119.96,118.68,119.64,1063701
"2016-07-28",119.1,119.77,118.01,119.13,807319
"2016-08-04",121.69,122.66,121.52,122.23,1015802
"2016-08-11",122.94,123.3,122.68,123.15,481912
"2016-08-18",122.13,122.65,122.07,122.39,550223
"2016-08-25",121.8,123.27,121.3,122.8,827996
"2016-09-01",122.74,123.4,121.72,123.1,864788
"2016-09-08",122.4,122.66,121.99,122.38,546304
"2016-09-15",117.3,118.43,117.02,118.08,655759
