"","ALGN.Open","ALGN.High","ALGN.Low","ALGN.Close","ALGN.Volume"
"2015-08-27",56.83,57.49,55.82,56.82,426790
"2015-09-03",55.17,55.86,54.88,55.13,632954
"2015-09-10",54.69,55.84,54.34,55.19,369651
"2015-09-17",56.73,59.47,56.45,58.45,755721
"2015-09-24",56.81,57.1,56.09,56.96,355921
"2015-10-01",56.58,56.79,55,55.44,882317
"2015-10-08",56.59,56.96,55.43,56.23,450136
"2015-10-15",57.13,60.93,56.98,60.65,1555893
"2015-10-22",61.76,61.9,60.35,60.78,2548420
"2015-10-29",66.47,66.47,65.28,65.7,1164357
"2015-11-05",66.6,66.8,65.78,66.39,322138
"2015-11-12",65.04,65.6,63.88,64,483776
"2015-11-19",66.38,67.46,66,67.39,718469
"2015-12-03",68.33,68.42,65.58,65.82,517928
"2015-12-10",65.04,66.35,64.46,65.03,370742
"2015-12-17",65.75,65.94,64.11,64.77,248470
"2015-12-24",65.36,65.73,65.22,65.39,243521
"2015-12-31",66.5,67.37,65.79,65.85,546000
"2016-01-07",63.53,64.89,62.9,63.5,769361
"2016-01-14",59.31,60.52,58.18,59.99,408341
"2016-01-21",60.46,61.35,59.88,60.73,397846
"2016-01-28",61.58,62.2,58.43,59.51,1243579
"2016-02-04",67.01,67.99,66.65,67.38,398137
"2016-02-11",59.21,59.72,57.75,58.79,724140
"2016-02-18",63.62,63.83,62.39,62.88,447001
"2016-02-25",63.5,64.5,62.25,64.46,351951
"2016-03-03",68.59,69.58,67.76,69.44,465579
"2016-03-10",70.63,71.08,69.45,70.42,691760
"2016-03-17",68.67,69.24,66.79,68.47,3110899
"2016-03-24",69.6,70.35,68.81,70.23,597216
"2016-03-31",72,73.55,71.97,72.69,996031
"2016-04-07",73.57,73.62,72.3,72.49,627174
"2016-04-14",73.16,73.43,72.62,73.13,317812
"2016-04-21",73.73,74.2,73.04,73.3,440813
"2016-04-28",74.42,75.74,73.41,73.7,871804
"2016-05-05",74.36,76.29,74.26,75.56,1268386
"2016-05-12",76.4,77.18,75.14,75.72,550295
