"","BA.Open","BA.High","BA.Low","BA.Close","BA.Volume"
"2015-09-11",133.16,134.86,132.88,134.67,2621816
"2015-09-14",134.72,135.13,133.72,134.43,2386792
"2015-09-15",134.52,137,134.52,136.3,3752452
"2015-09-16",136.26,137.43,136.01,137.2,2500604
"2015-09-17",137.36,139.91,136.94,137.45,3365856
"2015-09-18",135.75,137.69,134.4,136.09,7262600
"2015-09-21",136.42,137.45,134.94,136.02,2457960
"2015-09-22",134.49,134.49,132.52,133.99,3440062
"2015-09-23",134.66,135,131.61,131.67,4891289
"2015-09-24",130.72,130.77,127.18,129.75,5268527
"2015-09-25",131.57,131.73,129.28,131.01,4138718
"2015-09-28",130.44,130.48,128.03,128.13,4137519
"2015-09-29",128.11,129.14,127.47,128.75,2926773
"2015-09-30",130.27,131.41,129.62,130.95,3048760
"2015-10-01",131.32,131.79,128.98,130.61,2847081
"2015-10-02",129,132.59,128.56,132.56,3004210
"2015-10-05",132.28,134.15,131.35,134.02,4545387
"2015-10-06",134.1,135.54,133.67,134.63,3035398
"2015-10-07",135.69,137.73,135.26,137.02,3264936
"2015-10-08",136.66,139.35,136.07,139.04,2823641
"2015-10-09",139.07,140.24,138.36,139.7,3052758
"2015-10-12",139.93,141.07,139.32,140.68,1935802
"2015-10-13",139.44,140.5,139.43,140.29,2327425
"2015-10-14",139.75,140.89,133.58,134.22,8699477
"2015-10-15",135.16,137.67,135,137.39,6361976
"2015-10-16",137.43,138.73,136.52,137.6,3167476
"2015-10-19",137.6,138.61,136.39,138.42,4017997
"2015-10-20",137.94,139.93,137.58,138.88,4196208
"2015-10-21",141.7,142.15,136.61,141.19,8927233
"2015-10-22",142,147.36,141.93,146.31,6965575
"2015-10-23",147.37,147.75,144.91,146.7,4685858
"2015-10-26",146.21,147.23,145.55,146.7,3143315
"2015-10-27",146.22,148.99,146.01,148.46,3373317
"2015-10-28",147.99,148.81,145.14,147.88,4386160
"2015-10-29",147.54,147.87,145.83,147.18,3058933
"2015-10-30",147.4,149.6,147.09,148.07,3932049
"2015-11-02",148.38,149.47,147.56,148.4,2514470
"2015-11-03",148.03,148.46,147.14,148.09,2462420
"2015-11-04",147.26,148.76,147.18,148.19,2765572
"2015-11-05",148.19,148.84,146.49,147.97,2540651
"2015-11-06",146.58,148.17,146.01,147.94,2294015
"2015-11-09",146.9,147.48,145.18,145.98,2979356
