"","HCN.Open","HCN.High","HCN.Low","HCN.Close","HCN.Volume"
"2014-07-17",63.18,63.97,63.16,63.69,2080648
"2014-07-24",64.62,64.72,64.35,64.7,1756065
"2014-07-31",63.92,64.38,63.4,63.63,2750315
"2014-08-07",63.55,63.57,63.03,63.09,2016832
"2014-08-14",65.24,65.98,65.03,65.69,2016269
"2014-08-21",66.38,66.92,66.29,66.37,1361932
"2014-08-28",66.76,67.18,66.66,67.07,1287907
"2014-09-04",67.43,67.99,67.08,67.53,1518354
"2014-09-11",66.3,66.72,66.03,66.49,1154212
"2014-09-18",63.96,64,62.86,62.89,2175764
"2014-09-25",62.66,62.87,62.48,62.65,2193262
"2014-10-02",62.57,62.8,62.05,62.3,2679384
"2014-10-09",64.93,65.62,64.51,64.95,2978402
"2014-10-16",67.23,67.86,67.07,67.55,2601081
"2014-10-23",68.5,68.88,68.04,68.82,1884269
"2014-10-30",68.96,70.12,68.9,70.08,1729766
"2014-11-06",70.78,71.22,70.13,70.16,3174137
"2014-11-13",70.88,71.43,70.72,71.25,1126579
"2014-11-20",71.69,71.76,70.94,71.68,2168534
"2014-12-04",75.03,75.39,74.52,75.24,1687594
"2014-12-11",76.4,76.88,76.08,76.37,1861344
"2014-12-18",76.77,77.08,75.18,76.26,3551426
"2015-01-08",80.09,80.2,78.54,79.41,2459702
"2015-01-15",81.93,83.25,81.36,83.17,3081649
"2015-01-22",82.56,83.28,82.44,82.99,3341754
"2015-01-29",82.98,83.76,82.71,83.74,2367843
"2015-02-05",81.22,81.7,80.4,81.63,1882813
"2015-02-12",77.34,77.8,76.85,77.45,1613897
"2015-02-19",77.79,77.79,76.06,76.22,2005695
"2015-02-26",77.75,77.87,75.96,76.07,2865001
"2015-03-05",77.02,77.75,76.66,76.68,2015054
"2015-03-12",74.59,75.4,74.59,75.3,2030424
"2015-03-19",77.05,77.64,76.61,76.78,2538149
"2015-03-26",77.46,78,77.17,77.4,1946138
"2015-04-02",77.15,78.09,76.96,77.83,1804008
"2015-04-09",78.19,78.34,76.52,76.69,1697305
"2015-04-16",75.2,76.04,74.92,75.63,1213688
"2015-04-23",75.39,76.01,75.24,75.82,1289192
"2015-04-30",73.68,73.94,71.53,72.02,3481371
"2015-05-07",70.95,71.97,70.81,71.47,2692478
"2015-05-14",70.35,71.18,70.19,71.15,1825285
"2015-05-21",71.66,71.67,70.91,71.24,2095717
"2015-05-28",71.19,71.19,70.32,70.83,1566836
"2015-06-04",69.09,70.19,68.65,69.62,4032149
"2015-06-11",68.72,68.87,68.3,68.43,2004094
"2015-06-18",68.51,69.53,68.23,68.88,2374298
"2015-06-25",66.51,66.74,65.92,65.98,2636757
"2015-07-02",66.88,67.63,66.09,66.23,2309437
"2015-07-09",69.14,69.44,68.24,68.34,2270938
"2015-07-16",67.7,68,67.07,67.53,2799244
"2015-07-23",67.5,67.73,66.6,67.03,1418482
"2015-07-30",69.13,69.57,68.56,68.81,1631742
"2015-08-06",68.51,68.6,66.97,68.49,2968599
"2015-08-13",67.68,68.26,66.92,67.85,2385424
"2015-08-20",68.78,69.66,68.34,69.37,2335764
"2015-08-27",65.27,66.13,64.14,65.32,2855917
"2015-09-03",63.4,63.5,62.69,62.86,1628921
"2015-09-10",61.85,62.7,61.64,61.85,1753496
"2015-09-17",64.47,67.5,64.09,66.18,2893901
"2015-09-24",68.06,68.48,67.51,67.91,2281428
"2015-10-01",68,68.15,66.96,67.7,1814791
"2015-10-08",69.62,69.82,68.84,69.66,2014354
"2015-10-15",67.68,68.39,67.53,68.36,1679887
"2015-10-22",70.79,71.25,70.28,70.91,2271708
"2015-10-29",66.54,67.07,66.25,66.95,2893051
"2015-11-05",64.63,65.02,64.14,64.92,2910900
"2015-11-12",59.01,59.83,58.36,59.39,3498102
"2015-11-19",59.77,60.78,59.68,60.55,3063655
"2015-12-03",63.02,63.37,62.28,62.71,3332619
"2015-12-10",64.08,64.22,62.75,62.81,3245201
"2015-12-17",65.97,66.24,65.58,66.01,2399257
"2015-12-24",67.07,67.24,66.6,67.03,637159
"2015-12-31",68.28,68.51,67.65,68.03,1461754
"2016-01-07",69.24,69.87,67.6,67.94,4418350
"2016-01-14",66.38,67.02,65.91,66.39,3193416
"2016-01-21",65.15,66.49,64.09,65.48,2224208
"2016-01-28",61.4,62.05,60.33,60.43,4976142
"2016-02-04",63.46,63.91,62.83,63.69,2377248
"2016-02-11",54.68,55.23,52.8,53.68,5639437
"2016-02-18",57,59.44,56.12,58.68,3844822
"2016-02-25",61.85,62.71,61.54,62.67,2580246
"2016-03-03",67.01,67.27,65.05,65.99,3245812
"2016-03-10",66,66.42,64.31,65.13,3297302
"2016-03-17",66.83,67.74,66.38,67.57,2330356
"2016-03-24",66.45,67.13,65.86,66.96,1628907
"2016-03-31",68.76,69.94,68.51,69.34,2969044
"2016-04-07",68.95,69.68,68.52,68.77,2235033
"2016-04-14",69.61,69.9,69.18,69.67,2050395
"2016-04-21",69.02,69.15,66.55,66.62,2674312
"2016-04-28",69.26,70.06,69.26,69.66,1419476
