"","EMN.Open","EMN.High","EMN.Low","EMN.Close","EMN.Volume"
"2015-10-08",70.4,71.8,70.29,71.5,1020138
"2015-10-15",70.77,71.17,68.75,69.93,2303898
"2015-10-22",70.33,71.82,69.96,71.39,1505654
"2015-10-29",73.14,73.82,72.61,73.71,1440997
"2015-11-05",71.1,71.39,70,70.66,1322710
"2015-11-12",66.74,67.85,66.01,67.42,1488826
"2015-11-19",71.5,72.13,70.53,70.9,987235
"2015-12-03",71.91,72.5,70.96,71.14,1159188
"2015-12-10",70.29,70.44,69.26,69.41,999660
"2015-12-17",68.38,68.49,66.76,66.8,938068
"2015-12-24",69.13,69.45,68.79,68.91,424533
"2015-12-31",67.45,68.25,67.28,67.51,565808
"2016-01-07",64.53,65.76,63.92,64.74,1699063
"2016-01-14",62.89,64.24,62.16,63.96,1225063
"2016-01-21",60.7,62.49,60.03,61.25,1491089
"2016-01-28",63.34,63.78,62.42,63.06,1696960
"2016-02-04",61.43,62.51,61.03,61.36,2664728
"2016-02-11",57.09,58.84,57,58.44,1225191
"2016-02-18",64.1,64.16,62.52,63.46,927128
"2016-02-25",63.86,64.56,63.01,64.54,1064777
"2016-03-03",67.44,68.6,67.18,68.49,1777735
"2016-03-10",70.16,70.47,68.49,69.39,1450175
"2016-03-17",71.96,73.92,71.73,73.72,1702287
"2016-03-24",71.65,72.85,70.89,72.84,1089581
"2016-03-31",73.09,73.1,71.99,72.23,1685748
"2016-04-07",71.65,72.06,70.54,71.19,1351098
"2016-04-14",74.38,74.97,73.95,74.16,1153786
"2016-04-21",77.03,77.2,75.89,76.07,854028
"2016-04-28",76.99,78.79,76.77,78.21,2192140
"2016-05-05",76.72,76.94,75.25,75.29,794513
"2016-05-12",76.13,76.6,74.61,74.8,1063635
"2016-05-19",73.06,73.86,72.61,73.02,859300
"2016-05-26",74.62,75.01,73.42,73.67,637578
"2016-06-02",73.61,73.95,72.82,73.71,860839
"2016-06-09",72.6,72.71,71.51,71.78,1780853
"2016-06-16",70.84,71.77,70.09,71.7,1092201
"2016-06-23",72.34,73.01,72.25,73.01,666380
"2016-06-30",67.6,67.91,66.62,67.9,2829071
"2016-07-07",66.41,67.51,66.22,66.99,1783612
"2016-07-14",71.55,71.9,70.94,71.7,1248408
"2016-07-21",71.9,72.1,71.26,72.02,897879
"2016-07-28",69.84,70.82,69.37,70.37,1391926
"2016-08-04",64.95,65.26,64.66,64.78,1241952
"2016-08-11",65.15,65.65,64.7,65.32,1211969
"2016-08-18",64.97,65.47,64.52,64.88,1508378
"2016-08-25",67.39,68.18,67.32,67.74,1223257
"2016-09-01",67.88,68.35,67.08,67.77,1107883
"2016-09-08",66.95,66.95,65.76,65.86,1654471
"2016-09-15",64.01,64.83,63.9,64.74,2882711
