"","UAL.Open","UAL.High","UAL.Low","UAL.Close","UAL.Volume"
"2015-12-03",57.91,58.23,56.56,56.74,4111102
"2015-12-10",58.1,60.18,57.61,59.53,5095632
"2015-12-17",58.86,59.65,57.3,57.32,3997565
"2015-12-24",58.35,60.44,58.35,59.78,3015034
"2015-12-31",57.23,57.5,56.72,57.3,3516041
"2016-01-07",54.4,54.81,52.34,52.63,6095634
"2016-01-14",48.34,48.59,45.89,47.83,9801596
"2016-01-21",45.11,46.66,44.25,45.33,10284664
"2016-01-28",47.97,48.14,45.77,46.11,7769014
"2016-02-04",47.18,48.62,47.07,48.41,5701860
"2016-02-11",46.54,47.85,46.48,46.98,4913018
"2016-02-18",51.07,52.2,50.72,51.94,5571068
"2016-02-25",56.44,56.91,55.73,56.86,4655444
"2016-03-03",57.93,58.8,57.8,58.34,5188349
"2016-03-10",57.6,57.87,56.65,57.26,3509513
"2016-03-17",58.71,59.16,58.21,58.84,3279028
"2016-03-24",58.76,58.96,57.2,57.84,6618263
"2016-03-31",59.92,61.39,59.82,59.86,5735409
"2016-04-07",54.55,54.66,52.93,53.16,6723454
"2016-04-14",55.86,57.84,55.8,56.73,3794845
"2016-04-21",55.32,56,51.33,52.76,25276065
"2016-04-28",48.84,49.21,47.9,48.06,5653577
"2016-05-05",45.6,46.07,44.96,44.99,6034603
"2016-05-12",46.03,46.03,43.33,43.78,7909539
"2016-05-19",44.73,45.29,43.65,44.01,5553508
"2016-05-26",45.2,45.32,44.14,44.5,4891029
"2016-06-02",44.92,45.59,44.86,45.17,3355673
"2016-06-09",45.59,46.91,45.44,46.7,4648846
"2016-06-16",42.23,42.9,41.68,41.83,7695590
"2016-06-23",45.75,45.92,44.46,45.17,4914054
"2016-06-30",40.72,41.04,40.2,41.04,6052579
"2016-07-07",39.32,40.41,39.31,40.09,4606347
"2016-07-14",46.73,47.94,46.42,47.85,7702514
"2016-07-21",47.11,47.4,46.02,46.66,5879776
"2016-07-28",47.17,47.63,46.81,47.4,2496682
"2016-08-04",44.94,45.96,44.81,45.9,3879129
"2016-08-11",47,47.57,46.8,47.27,4018950
"2016-08-18",48.16,48.22,47.18,47.6,4915948
"2016-08-25",47.46,47.76,47.3,47.53,2075818
"2016-09-01",50.54,51.48,50.12,50.89,4012808
"2016-09-08",53.23,54.4,53.23,54.36,5593848
"2016-09-15",50.99,51.96,50.37,51.71,4726469
