"","COP.Open","COP.High","COP.Low","COP.Close","COP.Volume"
"2016-01-20",35.54,35.61,32.71,34.75,31309488
"2016-01-21",34.87,37.34,34.64,36.91,19554768
"2016-01-22",38.21,39.57,36.74,37.67,18557463
"2016-01-25",36.8,37.48,34.19,34.2,19446949
"2016-01-26",35.07,35.91,33.44,35.35,28655519
"2016-01-27",34.92,37.73,34.18,36.21,22021054
"2016-01-28",37.92,39.43,37.08,38.02,16854721
"2016-01-29",38.09,39.27,37.52,39.08,18618068
"2016-02-01",38.24,38.98,37.61,38.6,12780561
"2016-02-02",37.61,38.18,36.44,36.59,15841552
"2016-02-03",37.59,38.73,35.76,38.63,19825297
"2016-02-04",38.5,39,35.02,35.32,49136661
"2016-02-05",34.02,34.41,31.59,32.9,46128609
"2016-02-08",31.95,34.5,31.68,34.43,21918301
"2016-02-09",33.22,34.16,32.7,33.58,20230176
"2016-02-10",33.29,34.38,32.06,32.34,16580189
"2016-02-11",31.23,32.38,31.05,31.88,20795674
"2016-02-12",32.29,33.35,31.9,32.9,14905980
"2016-02-16",33.49,33.7,32.55,32.76,12802055
"2016-02-17",33.3,34.39,33.03,33.91,18257167
"2016-02-18",34.48,34.51,33.44,33.7,16835655
"2016-02-19",33.15,33.28,32.09,32.87,14639607
"2016-02-22",33.69,34.7,33.51,34.45,11521750
"2016-02-23",33.92,34.61,32.91,32.92,9669076
"2016-02-24",32.1,33.04,31.82,32.96,10948958
"2016-02-25",33.07,33.35,31.97,33.06,10319054
"2016-02-26",33.86,34.81,33.82,34.12,10997986
"2016-02-29",34.57,34.59,33.58,33.83,10338139
"2016-03-01",34.07,34.75,33.34,34.46,11575511
"2016-03-02",34.28,36.51,34.1,36.49,16940478
"2016-03-03",36.5,38.81,36.32,38.56,20231433
"2016-03-04",38.92,41.68,38.8,41.12,24780197
"2016-03-07",41.25,42.44,40.9,41.4,17530014
"2016-03-08",41.2,41.25,38.56,38.62,14013648
"2016-03-09",39.35,39.72,38.38,39.05,13346867
"2016-03-10",38.87,39.14,38.36,39.03,10853531
"2016-03-11",39.8,40.66,39.73,40.52,13643938
"2016-03-14",39.7,40.46,39.39,40.01,9285213
"2016-03-15",39.21,39.85,38.82,39.83,7838825
"2016-03-16",40.24,41.97,40.18,41.87,10120198
"2016-03-17",42.4,43.78,42.19,43.01,12408516
"2016-03-18",43.59,44.4,42.45,43.02,20921073
"2016-03-21",42.73,43.41,42.16,42.58,8400827
"2016-03-22",42.25,42.78,41.91,41.92,8215908
"2016-03-23",41.29,41.68,39.81,39.85,11184324
"2016-03-24",38.93,40.1,38.53,40.04,9217068
"2016-03-28",40.1,40.15,39.02,39.68,6647356
"2016-03-29",39.02,39.72,38.56,39.62,8114301
"2016-03-30",40.48,40.76,39.57,40.08,7758429
"2016-03-31",39.96,40.54,39.7,40.27,9346430
"2016-04-01",39.39,39.92,38.79,39.78,9081100
"2016-04-04",39.79,40.34,38.98,39.1,8630912
"2016-04-05",38.75,39.29,38.19,39.04,7836644
"2016-04-06",39.4,40.98,39.17,40.75,9805992
"2016-04-07",40.43,41.03,39.74,40.31,7092889
"2016-04-08",41.62,41.89,40.93,41.23,8059852
"2016-04-11",41.45,41.98,41.15,41.19,7148539
"2016-04-12",41.57,43.83,41.36,43.47,10627135
"2016-04-13",43.63,43.96,43.01,43.58,9372596
"2016-04-14",43.83,44.3,43.46,44.22,8239629
"2016-04-15",43.75,44.16,43.52,43.7,8092856
"2016-04-18",42.09,45,42.04,45,9359520
"2016-04-19",45.21,47.1,44.97,47.06,12811951
"2016-04-20",46.73,47.66,46.09,47.08,8486162
"2016-04-21",46.99,47.32,46.12,46.23,9987096
"2016-04-22",46.34,47.74,46.26,47.62,9369205
"2016-04-25",47.16,47.23,45.84,46.27,11582932
"2016-04-26",46.6,48.17,46.34,48.08,10702026
"2016-04-27",48.55,48.91,47.82,48.11,11546197
"2016-04-28",48.13,49.35,47.5,47.67,12316074
"2016-04-29",47.9,48.83,46.95,47.79,9001611
"2016-05-02",47.56,47.69,46.12,46.85,8262826
"2016-05-03",46.1,46.26,44.71,45.08,8711993
"2016-05-04",45.17,45.65,43.19,43.41,9228806
"2016-05-05",44.54,44.98,42.76,43.21,8382060
"2016-05-06",42.73,43.58,42.27,42.76,8147188
"2016-05-09",42.31,42.49,41.12,41.65,7007065
"2016-05-10",41.62,42.89,41.58,42.87,7964741
"2016-05-11",42.87,44.42,42.31,43.68,8887057
"2016-05-12",44.05,44.69,43.05,43.73,8347856
"2016-05-13",43.37,43.92,42.84,43.02,6150543
"2016-05-16",43.79,44.51,43.79,44.08,7836927
"2016-05-17",43.88,44.45,43.46,43.78,11736940
"2016-05-18",43.38,44.12,43.05,43.34,8120729
"2016-05-19",42.75,43.62,42.07,43.36,6283046
"2016-05-20",43.52,43.99,43.04,43.58,6397536
"2016-05-23",43.2,43.92,43,43.59,6736343
"2016-05-24",43.92,43.98,43.29,43.46,5968708
"2016-05-25",43.9,45.06,43.85,44.9,6455227
"2016-05-26",45.42,45.78,44.68,44.73,7808664
"2016-05-27",44.27,44.43,43.85,44.33,6067541
"2016-05-31",44.59,45.27,43.68,43.79,9511599
"2016-06-01",43.37,44.08,43.21,44.06,7262133
"2016-06-02",43.75,44.63,43.45,44.38,7016637
"2016-06-03",44.39,44.72,43.7,44.18,6086758
"2016-06-06",44.8,45.63,44.47,45.52,7813085
"2016-06-07",45.97,47.57,45.8,47.54,11227765
"2016-06-08",47.95,48.45,47.44,47.49,9641001
"2016-06-09",46.72,47.14,46.55,46.57,5425117
"2016-06-10",45.9,46.12,44.26,44.51,9008304
"2016-06-13",43.96,44.96,43.8,43.88,7394890
