"","JNPR.Open","JNPR.High","JNPR.Low","JNPR.Close","JNPR.Volume"
"2015-09-03",25.21,25.55,25.07,25.27,5015296
"2015-09-10",25.33,25.77,25.22,25.62,4323466
"2015-09-17",25.83,26.15,25.7,25.81,4389047
"2015-09-24",25.13,25.36,24.84,25.31,3927606
"2015-10-01",25.71,26.06,25.48,26.04,6795643
"2015-10-08",29.38,30.03,29.3,29.8,8678417
"2015-10-15",29.62,30.13,29,30,4492990
"2015-10-22",29.97,30.32,29.58,29.76,8797146
"2015-10-29",31.47,31.68,31.17,31.19,2878144
"2015-11-05",31.69,31.8,31.26,31.4,3123841
"2015-11-12",29.45,29.93,29.19,29.65,7734722
"2015-11-19",29.98,30.47,29.78,30.2,4442601
"2015-12-03",30.37,30.48,29.12,29.31,7287275
"2015-12-10",28.21,28.99,28.2,28.86,8349591
"2015-12-17",29.43,29.51,29.1,29.11,4240890
"2015-12-24",27.62,27.78,27.56,27.62,1511276
"2015-12-31",27.6,27.78,27.43,27.6,2834070
"2016-01-07",26.36,26.81,25.98,26.09,6599530
"2016-01-14",25.68,26.37,25.44,26.16,5008745
"2016-01-21",25.82,26.16,25.57,25.64,8794579
"2016-01-28",23.76,24,21.95,22.46,28935698
"2016-02-04",23.9,24.06,23.6,23.73,8279956
"2016-02-11",21.49,22.06,21.49,21.7,6173031
"2016-02-18",23.74,24.1,23.67,24,4865359
"2016-02-25",24.91,25.13,24.77,24.96,5047029
"2016-03-03",24.65,24.93,24.5,24.9,3489137
"2016-03-10",25.27,25.72,25.16,25.31,8859157
"2016-03-17",25.75,26.48,25.71,26.33,6302872
"2016-03-24",25.52,25.55,24.96,25.36,5852227
"2016-03-31",25.52,25.71,25.42,25.51,4631828
"2016-04-07",25.29,25.4,24.87,24.94,3385661
"2016-04-14",23.89,23.92,23.56,23.57,6858131
"2016-04-21",23.2,23.57,23.2,23.38,6434127
"2016-04-28",23.52,23.96,23.34,23.41,6242093
"2016-05-05",22.6,22.64,22.31,22.34,4560828
"2016-05-12",22.92,23.11,22.58,22.75,3224442
"2016-05-19",22.56,22.7,22.18,22.37,4416554
"2016-05-26",23.01,23.1,22.88,22.99,1548209
"2016-06-02",23.34,23.47,23.26,23.46,2243348
"2016-06-09",23.49,23.59,23.34,23.45,2374884
"2016-06-16",22.8,23.01,22.61,22.97,2299973
"2016-06-23",23.22,24.05,23.14,24.04,3302611
"2016-06-30",22.22,22.52,21.92,22.49,2784364
"2016-07-07",21.86,22.17,21.66,21.95,3549595
"2016-07-14",23.33,23.36,23.03,23.09,1934291
"2016-07-21",23.53,23.64,23.36,23.4,1906556
"2016-07-28",22.46,22.71,22.46,22.62,3971464
"2016-08-04",22.57,22.73,22.48,22.55,3204357
"2016-08-11",23.06,23.34,22.96,23.3,3387094
"2016-08-18",23.08,23.22,22.98,23.11,3903772
"2016-08-25",23.3,23.54,23.26,23.4,1914150
"2016-09-01",23.14,23.36,23.04,23.31,2431066
"2016-09-08",23.33,23.54,23.26,23.48,2595683
"2016-09-15",22.6,23.02,22.6,23.01,2907592
