"","LYB.Open","LYB.High","LYB.Low","LYB.Close","LYB.Volume"
"2016-02-04",75.82,80.46,75.82,79.66,5633629
"2016-02-11",73.3,74.74,72.15,73.43,4018799
"2016-02-18",79.5,80.25,78.72,80.2,3695711
"2016-02-25",77.46,78.56,76.33,78.18,2567048
"2016-03-03",80.17,80.9,79.72,79.9,3608325
"2016-03-10",82.68,85.04,82.36,84.98,4738713
"2016-03-17",86.55,89.18,86.54,88.6,4898313
"2016-03-24",83.61,85.4,83.29,85.37,2736395
"2016-03-31",86.07,87.23,85.4,85.58,2400926
"2016-04-07",85.39,86.1,84.11,84.39,2161801
"2016-04-14",89.37,89.37,87.9,88.4,1803015
"2016-04-21",90.89,93.75,90.49,90.69,4673306
"2016-04-28",88.36,89,86.11,86.36,3469116
"2016-05-05",81.92,82.93,81.3,81.62,2786529
"2016-05-12",83.23,83.5,81.08,81.25,2590725
"2016-05-19",81.57,81.66,80.01,80.83,3163960
"2016-05-26",82.99,83.7,81.34,81.37,1813199
"2016-06-02",81.89,81.99,80.1,80.58,3679181
"2016-06-09",81.61,81.61,79.76,79.92,4533704
"2016-06-16",78.32,79.23,77.71,79.09,2969570
"2016-06-23",78.63,79.62,78.09,79.05,3999803
"2016-06-30",74.51,74.63,73.21,74.42,3750720
"2016-07-07",73.64,75.2,73.46,74.52,3480249
"2016-07-14",78,78.4,77.28,77.61,2861499
"2016-07-21",79.14,80.24,78.98,79.09,2221346
"2016-07-28",77.9,79.41,77.58,79.02,2795638
"2016-08-04",73.46,74.9,73.41,74.34,3148088
"2016-08-11",74.73,76.9,74.42,76.63,3454479
"2016-08-18",77.43,78.27,76.76,78.11,3108329
"2016-08-25",78.1,79.71,77.96,78.94,2341901
"2016-09-01",78.87,79.27,78.22,78.48,2415851
"2016-09-08",79.59,79.76,78.28,78.53,3423203
"2016-09-15",75.46,76.66,75.33,76.52,4592169
