"","UTX.Open","UTX.High","UTX.Low","UTX.Close","UTX.Volume"
"2016-07-07",101.53,102.14,101.37,101.97,3051601
"2016-07-14",105.98,105.99,104.94,105.14,3307876
"2016-07-21",106.37,106.74,105.61,105.85,3827718
"2016-07-28",107.69,107.98,107.1,107.58,2807288
"2016-08-04",106.55,107.07,106.32,106.36,1862915
"2016-08-11",108.5,109.29,108.46,109.18,2005188
"2016-08-18",109.05,109.42,108.85,109.33,1959750
"2016-08-25",107.75,108.14,107.41,107.72,1793640
"2016-09-01",106.74,106.96,105.7,106.72,3231547
"2016-09-08",105.61,106.16,105.52,105.75,2810189
"2016-09-15",101.44,102.91,101.26,102.71,3158944
