"","XRX.Open","XRX.High","XRX.Low","XRX.Close","XRX.Volume"
"2015-12-03",41.76,41.92,41,41.44,5087064
"2015-12-10",40.24,40.92,39.98,40.68,2437798
"2015-12-17",41.12,41.64,40.24,40.76,2897608
"2015-12-24",43.28,43.72,43.16,43.52,874499
"2015-12-31",42.68,42.81,42.16,42.52,1576096
"2016-01-07",39.8,40,39.2,39.48,2666702
"2016-01-14",37.08,37.56,36.24,36.72,2380712
"2016-01-21",35,36.48,34.66,36.16,2447210
"2016-01-28",37.24,39.88,36.64,36.92,3589814
"2016-02-04",37,38.04,36.8,37.48,2481068
"2016-02-11",34.88,35.16,34.12,34.76,2272975
"2016-02-18",36.92,37.48,36.72,37.36,1521276
"2016-02-25",38.32,38.64,38.04,38.56,1528773
"2016-03-03",40.88,41.72,40.76,41.6,1578086
"2016-03-10",42.16,42.4,41.06,41.8,1311232
"2016-03-17",42.28,43.12,42.24,42.8,2047572
"2016-03-24",42.04,42.56,41.38,42.52,1013528
"2016-03-31",43.76,45.24,43.72,44.64,2732652
"2016-04-07",43.92,44.04,43.22,43.56,1484061
"2016-04-14",44.76,44.8,44.26,44.64,905144
"2016-04-21",44.92,45.12,44.6,44.64,1618226
"2016-04-28",39.8,39.92,39.04,39.32,2444464
"2016-05-05",37.96,38.12,37.04,37.16,1684840
"2016-05-12",37.32,37.44,36.76,36.96,1588010
"2016-05-19",36.6,36.72,36.04,36.2,1082292
"2016-05-26",38.12,38.56,37.96,38.44,1995208
"2016-06-02",39.92,40.56,39.84,40.56,1316787
"2016-06-09",40.72,40.8,40.24,40.48,943483
"2016-06-16",39.32,39.4,38.64,38.8,1717990
"2016-06-23",39.64,40.08,39.56,40.08,809660
"2016-06-30",36.92,37.96,36.68,37.96,1443984
"2016-07-07",37.28,37.68,37.2,37.52,1175549
"2016-07-14",38.56,39,38.12,38.6,1485601
"2016-07-21",39.28,39.56,38.92,39.08,774793
"2016-07-28",39.92,40.16,39.6,39.64,1412381
"2016-08-04",39.8,40,39.2,39.36,1198022
"2016-08-11",39.68,39.84,39.44,39.6,1112101
"2016-08-18",38.88,39.04,38.68,38.8,1379572
"2016-08-25",38.64,38.92,38.44,38.88,1521712
"2016-09-01",39.52,39.64,38.88,39.48,1759976
"2016-09-08",39.4,39.64,39.24,39.6,2090979
"2016-09-15",38.88,39.32,38.72,39.24,2281235
