"","ORCL.Open","ORCL.High","ORCL.Low","ORCL.Close","ORCL.Volume"
"2015-04-02",42.99,43.11,42.48,42.62,11183925
"2015-04-09",42.97,43.31,42.74,43.2,9399527
"2015-04-16",43.69,43.96,43.25,43.46,11960843
"2015-04-23",43.51,43.63,42.98,43.39,11310989
"2015-04-30",44.05,44.41,43.5,43.62,20196267
"2015-05-07",43.17,43.66,43.02,43.48,8787086
"2015-05-14",44.11,44.4,44,44.38,7293021
"2015-05-21",44.22,44.45,43.95,44.28,8036392
"2015-05-28",44.08,44.25,43.64,43.86,7273163
"2015-06-04",43.74,44.11,43.51,43.77,13783142
"2015-06-11",44.17,44.42,44.03,44.28,12519260
"2015-06-18",41.91,42.98,40.97,42.74,79138433
"2015-06-25",41.24,41.47,41.06,41.06,13587225
"2015-07-02",40.38,40.42,40.15,40.36,11644070
"2015-07-09",40.24,40.48,40.15,40.18,13348301
"2015-07-16",41.02,41.02,40.56,40.96,14861034
"2015-07-23",39.55,39.6,38.96,39,18083839
"2015-07-30",40.03,40.1,39.54,39.65,13634237
"2015-08-06",39.63,39.84,39.14,39.32,10613026
"2015-08-13",39.22,39.56,38.99,39.31,7785664
"2015-08-20",39.19,39.5,38.6,38.63,12964123
"2015-08-27",37.35,37.51,36.01,36.82,28123389
"2015-09-03",36.81,37.27,36.77,36.9,11739249
"2015-09-10",37.03,37.94,37.03,37.61,16919776
"2015-09-17",36.74,37.67,36.5,36.74,36907421
"2015-09-24",35.85,36.23,35.39,36.06,17972039
"2015-10-01",36.23,36.42,35.85,36.24,18178431
"2015-10-08",37.39,37.98,37.34,37.89,13220084
"2015-10-15",37.55,37.67,37.26,37.55,11947174
"2015-10-22",36.85,37.86,36.85,37.79,14701151
"2015-10-29",38.53,38.91,38.52,38.86,11432858
"2015-11-05",40.16,40.6,40.15,40.35,16355770
"2015-11-12",38.65,39.1,38.51,38.63,14573515
"2015-11-19",38.67,39.32,38.62,39.02,11654805
"2015-12-03",38.96,38.96,37.75,37.81,20322532
"2015-12-10",38.61,38.82,38.11,38.19,18358289
"2015-12-17",38.09,38.2,36.54,36.93,42879939
"2015-12-24",36.73,37.22,36.73,37.01,4953878
"2015-12-31",36.84,36.95,36.43,36.53,10332409
"2016-01-07",35.25,35.68,34.88,35.04,22591403
"2016-01-14",34.19,35.09,34.01,34.79,19512746
"2016-01-21",33.91,34.56,33.59,34.12,20374772
"2016-01-28",35.17,35.31,34.94,35.33,15458860
"2016-02-04",35.7,36.54,35.66,36.45,16856327
"2016-02-11",34.59,35.11,34.47,34.84,18778793
"2016-02-18",36.71,36.87,36.4,36.63,12464767
"2016-02-25",36.79,37.3,36.5,37.29,11565842
"2016-03-03",37.61,37.91,37.4,37.89,8832188
"2016-03-10",38.77,38.77,37.5,38.05,17620649
"2016-03-17",40.15,40.96,40.07,40.61,22150794
"2016-03-24",40.6,41.06,40.34,40.97,11954831
"2016-03-31",41.13,41.24,40.8,40.91,10186938
"2016-04-07",40.59,40.59,39.81,39.97,12799868
"2016-04-14",41.31,41.46,41.18,41.24,9142732
"2016-04-21",41.03,41.3,40.88,40.99,11945406
"2016-04-28",40.36,40.97,40.17,40.33,9168667
"2016-05-05",39.44,39.46,39.12,39.23,8962693
"2016-05-12",39.89,40.03,39.59,39.82,10006726
"2016-05-19",39.16,39.24,38.56,38.84,15123362
"2016-05-26",40.11,40.2,39.92,39.95,7554324
"2016-06-02",38.7,39.05,38.08,38.66,51063430
"2016-06-09",39.19,39.21,38.75,39.05,12316133
"2016-06-16",38.36,38.8,38.08,38.64,17916492
"2016-06-23",40.4,40.87,40.26,40.83,15429983
"2016-06-30",40.48,41.16,40.47,40.93,20100918
"2016-07-07",40.65,40.83,40.42,40.53,11676734
"2016-07-14",41.57,41.87,41.5,41.67,9259846
"2016-07-21",41.34,41.51,40.94,41.07,11546306
"2016-07-28",41.35,41.4,40.72,41.19,17048636
"2016-08-04",40.61,40.95,40.61,40.9,9142133
"2016-08-11",41.13,41.41,41.13,41.28,9473686
"2016-08-18",40.95,41.33,40.95,41.14,8544577
"2016-08-25",41.12,41.2,41,41.1,7567154
"2016-09-01",40.98,41.26,40.78,41.16,10652531
"2016-09-08",40.93,41,40.6,40.72,16732092
"2016-09-15",40.18,41.03,40.09,40.86,19092475
