"","NTRS.Open","NTRS.High","NTRS.Low","NTRS.Close","NTRS.Volume"
"2016-01-28",60.3,60.81,58.84,59.77,1655345
"2016-02-04",59.21,60.47,59.2,60.34,1548047
"2016-02-11",55.22,55.93,54.38,54.5,3764768
"2016-02-18",59.81,59.81,58.46,59.08,1586253
"2016-02-25",58.77,59.61,58.26,59.52,1284680
"2016-03-03",63.04,64.67,62.05,64.43,1997363
"2016-03-10",64.38,64.56,62.66,63.6,1390565
"2016-03-17",64.64,65.33,63.85,65.16,1172908
"2016-03-24",65.01,65.22,64.27,65.22,681256
"2016-03-31",65.4,65.96,65,65.17,881104
"2016-04-07",64.49,64.49,62.67,63.02,1399347
"2016-04-14",65.79,69.03,65.79,67.98,2131519
"2016-04-21",72.17,73,71.47,71.78,2347778
"2016-04-28",71.69,72.51,71.31,71.61,1225481
"2016-05-05",69.64,69.98,68.8,68.99,1332469
"2016-05-12",69.96,70.59,68.94,69.46,1062838
"2016-05-19",71.75,71.8,70,71,1922117
"2016-05-26",73.89,74.16,73.33,73.77,1272093
"2016-06-02",73.57,74.36,73.45,74.35,838520
"2016-06-09",72.24,72.5,71.3,71.87,1190550
"2016-06-16",68.9,69.32,68.15,69.28,1410444
"2016-06-23",70.39,71.54,70.18,71.54,1225899
"2016-06-30",64.74,66.3,64.3,66.26,2474504
"2016-07-07",62.96,64.49,62.78,63.52,1426839
"2016-07-14",67.19,67.53,66.67,66.78,976005
"2016-07-21",67.04,67.46,66.46,66.73,1950788
"2016-07-28",68.1,68.31,67.53,67.74,1142744
"2016-08-04",66.86,67.17,66.6,66.78,839873
"2016-08-11",68.44,68.82,68.15,68.63,515244
"2016-08-18",68.38,68.55,68.07,68.28,661251
"2016-08-25",68.4,68.84,67.51,68.83,626603
"2016-09-01",70.97,71.66,69.79,70.41,1294680
"2016-09-08",69.81,70.11,69.51,69.83,1028634
"2016-09-15",68.49,69.51,68.3,69.38,641833
