"","EQT.Open","EQT.High","EQT.Low","EQT.Close","EQT.Volume"
"2014-07-17",103.46,103.46,99.1,99.24,2602192
"2014-07-24",98,105.46,97.16,104.18,3791098
"2014-07-31",95.88,95.88,93.76,93.82,1648492
"2014-08-07",95.14,95.74,92.99,93.53,956231
"2014-08-14",94.34,94.95,93.61,93.89,775543
"2014-08-21",94.72,95.19,93.69,94.96,920489
"2014-08-28",97.6,98.51,97.02,97.99,779177
"2014-09-04",96.64,97.13,95.54,95.9,970166
"2014-09-11",94.59,96.04,93.85,95.86,1579044
"2014-09-18",96.65,97.35,94.72,94.8,1056249
"2014-09-25",91.44,91.45,90.12,90.99,1429046
"2014-10-02",89.03,90.74,88.04,90.11,1371732
"2014-10-09",88.06,88.06,84.29,84.31,2163837
"2014-10-16",80.04,86.47,80.04,85.27,2784462
"2014-10-23",83.5,89.04,82.69,87.65,2392251
"2014-10-30",89.7,90.36,88.22,89.09,945074
"2014-11-06",96.81,99.85,95.95,99.75,3070841
"2014-11-13",93.75,94.37,90.75,91.58,1999232
"2014-11-20",95.57,98.18,95.43,96.25,1492993
"2014-12-04",89.03,89.86,87.09,87.1,1766410
"2014-12-11",77.56,80.84,77.37,78.33,1903572
"2014-12-18",81.79,82.52,79.21,82.5,2092980
"2015-01-08",73.09,75.9,72.46,75.55,1510185
"2015-01-15",74.51,74.53,72.44,72.53,1274333
"2015-01-22",77,77.71,74.21,75.86,1356735
"2015-01-29",74.08,74.69,71.59,73.72,1255232
"2015-02-05",75.92,79.82,75.92,77.39,2941639
"2015-02-12",82.63,82.76,80.21,80.75,1324837
"2015-02-19",78.29,83.12,78.29,81.58,1172086
"2015-02-26",82.86,83.19,79.42,79.76,1736695
"2015-03-05",80.5,80.85,79.45,80.55,1021670
"2015-03-12",77.74,78.02,76.22,76.26,1293167
"2015-03-19",77.7,78.7,77.41,78.43,774318
"2015-03-26",82.18,82.6,79.61,79.93,874802
"2015-04-02",82.33,84.75,81.97,84.61,1280259
"2015-04-09",83.82,85.45,82.9,85.11,1775264
"2015-04-16",87.43,89.14,86.97,87.23,1690703
"2015-04-23",88.83,90.84,87.35,87.54,3039074
"2015-04-30",89.68,91.42,87.77,89.94,1467753
"2015-05-07",88.21,88.35,87.3,88.08,944999
"2015-05-14",90.12,91.28,89.2,90.8,1061189
"2015-05-21",88.62,89.11,87.73,88.54,907414
"2015-05-28",87.16,87.32,85.49,85.64,1039259
"2015-06-04",84.39,84.99,83.89,83.98,811769
"2015-06-11",85.69,86,84.98,85.21,1109636
"2015-06-18",85.04,85.65,82.2,82.55,1693024
"2015-06-25",83.89,83.89,82.69,83.06,1992117
"2015-07-02",80.38,81.18,80.05,80.16,959454
"2015-07-09",78.53,79.44,77.49,77.54,1633022
"2015-07-16",76.88,77.19,76.18,76.72,1446998
"2015-07-23",71.35,76.99,71.35,76.27,4084715
"2015-07-30",77.31,78,76.39,77.42,1471660
"2015-08-06",73.84,76.39,73.12,75.81,1447343
"2015-08-13",77.88,79.21,76.94,78.36,1122306
"2015-08-20",75.31,76.02,74.21,74.21,905378
"2015-08-27",75.78,77.8,75.14,76.95,2580380
"2015-09-03",75.72,77.25,74.3,75.07,1492856
"2015-09-10",72.73,73.8,71.7,73,1631769
"2015-09-17",74.62,76.13,74.03,74.64,1328115
"2015-09-24",71.6,72.28,70.77,70.91,2316125
"2015-10-01",66.2,67.1,64.22,64.73,1665701
"2015-10-08",73.35,75.32,73.22,75.02,1309034
"2015-10-15",74.63,76.51,73.53,76.5,1013069
"2015-10-22",74.08,74.08,68.1,68.32,3858785
"2015-10-29",64.09,66.83,63.97,66.54,1821178
"2015-11-05",66.36,68.9,65.67,67.49,1719348
"2015-11-12",62.26,63.63,62.06,62.31,1254143
"2015-11-19",60.13,61.07,59.1,59.56,1052475
"2015-12-03",54.65,55.44,53.35,53.71,1490036
"2015-12-10",51.58,53.18,51.12,52.33,2723044
"2015-12-17",48.12,48.46,47.1,47.75,2693794
"2015-12-24",51.88,52.6,51.6,51.94,904563
"2015-12-31",51.42,52.38,51.06,52.13,1219700
"2016-01-07",48.75,52.1,48.3,51.87,2818751
"2016-01-14",51.56,52.55,50.76,52.04,2401686
"2016-01-21",55.61,58.06,54.55,55.65,4510684
"2016-01-28",62.41,62.82,58.76,59.95,2136211
"2016-02-04",61.48,62.47,58.35,59.76,4902099
"2016-02-11",57.86,58.67,55.35,57.13,1672208
"2016-02-18",62.26,62.57,59.35,60.92,1287662
"2016-02-25",56.68,57.19,54.83,56.18,2092968
"2016-03-03",58.84,60.36,57.96,59.68,2543617
"2016-03-10",58.11,60.2,56.78,59.99,1850172
"2016-03-17",65.53,66.06,63.28,64.56,1175559
"2016-03-24",61.82,65.06,61.51,64.56,1887464
"2016-03-31",66.32,67.42,65.79,67.26,1353736
"2016-04-07",64.26,66,63.91,65.13,1636312
"2016-04-14",68.1,68.43,65.78,67.05,1385264
"2016-04-21",68.61,68.83,66.4,66.89,1297051
"2016-04-28",71.28,73.19,69.09,70.06,3184053
"2016-05-05",69.51,70.46,68.81,69.56,1783104
"2016-05-12",70.98,72.31,69.86,70.64,1224362
"2016-05-19",69.57,69.74,68.29,69.32,1131038
"2016-05-26",71.64,73.72,71.5,73.12,2759130
"2016-06-02",72.76,73.8,71.82,73.79,1530188
"2016-06-09",74.12,77.98,74.1,77.91,2007265
"2016-06-16",73.82,75.13,73.65,74.8,943717
"2016-06-23",79.01,79.46,78.2,78.76,1278183
"2016-06-30",76.93,77.58,76.23,77.43,1302862
"2016-07-07",78.36,78.74,76.6,76.83,1700991
"2016-07-14",77.19,77.19,75.22,75.71,1271560
"2016-07-21",75.08,76.22,74.76,74.82,1104085
"2016-07-28",74.01,74.96,72.18,73.91,2573278
"2016-08-04",71.34,72.41,70.34,70.52,1797245
"2016-08-11",68.94,69.63,67.84,68.31,1192435
"2016-08-18",69.23,71.28,68.84,71.26,1661325
"2016-08-25",71.84,72.1,71.22,71.57,987124
"2016-09-01",71.05,72.28,70.76,71.74,1146411
"2016-09-08",72.97,73.97,72.66,73.62,1197446
"2016-09-15",70.81,71.95,70.21,71.44,1198675
