"","SRE.Open","SRE.High","SRE.Low","SRE.Close","SRE.Volume"
"2015-06-25",100.57,100.71,99.36,99.4,1299173
"2015-07-02",99.5,100.5,99.14,100.38,1288364
"2015-07-09",101.7,102.12,100,100.13,1314539
"2015-07-16",102.52,103.96,102.34,103.9,1269555
"2015-07-23",100.76,101,99.27,99.7,876982
"2015-07-30",100.26,101.34,100.07,100.86,700292
"2015-08-06",100.55,100.66,98.93,100.24,1400119
"2015-08-13",105.15,105.59,104.42,105.08,1023317
"2015-08-20",104.21,105.5,104.01,104.3,1210347
"2015-08-27",97.56,97.94,96.54,97.84,2145434
"2015-09-03",92.12,93.55,91.75,93.39,2608103
"2015-09-10",91.39,91.65,89.74,90.09,1940757
"2015-09-17",91.46,94.31,91.05,92.93,1348951
"2015-09-24",91.8,92.84,91.51,92.74,1106410
"2015-10-01",96.71,96.92,95.49,96.4,1782726
"2015-10-08",97.59,99.8,97.14,99.66,1162490
"2015-10-15",99.8,101,99.21,100.71,960256
"2015-10-22",101.36,102.55,101.17,102.51,1030769
"2015-10-29",100.5,101.48,99.61,101.3,930200
"2015-11-05",105.29,105.52,104.07,104.12,1146021
"2015-11-12",101.18,102.21,99.48,99.5,952007
"2015-11-19",101.11,101.94,100.81,101.66,679842
"2015-12-03",97.82,98.99,96.65,96.96,997111
"2015-12-10",93.67,94.11,92.34,92.52,888774
"2015-12-17",96.3,96.78,95.55,95.95,898393
"2015-12-24",96.11,96.4,95.71,96.02,343258
"2015-12-31",94.47,94.77,92.89,94.01,1247868
"2016-01-07",90.49,90.9,86.72,87,4730926
"2016-01-14",90.22,93.56,90.05,92.94,2360390
"2016-01-21",90.1,91.33,89.45,91.04,1273998
"2016-01-28",91.77,93.03,91.53,92.83,1112099
"2016-02-04",95.48,96.97,95.2,95.31,1984609
"2016-02-11",96.4,96.91,94.04,94.45,1458175
"2016-02-18",95.32,97.39,95.2,96.88,995569
"2016-02-25",98.89,99.44,98.11,98.91,1776120
"2016-03-03",97.52,98.87,96.36,98.56,1093650
"2016-03-10",98.75,99.3,97.15,98.24,1170511
"2016-03-17",100.81,103.25,100.49,103.04,1189705
"2016-03-24",101.46,102.77,101.03,102.55,865546
"2016-03-31",103.38,104.34,103.38,104.05,1258208
"2016-04-07",102.73,103.82,102.38,103.35,1159441
