"","ADSK.Open","ADSK.High","ADSK.Low","ADSK.Close","ADSK.Volume"
"2016-01-21",47.98,48.55,46.94,47.87,2410513
"2016-01-28",46.95,47.4,45.04,45.27,3138841
"2016-02-04",49.46,50.74,48.62,49.51,2378625
"2016-02-11",42.8,43.69,41.85,43.26,2499358
"2016-02-18",46.79,48.2,46.77,47.75,2833725
"2016-02-25",49.49,50.28,48.75,49.42,8654180
"2016-03-03",54.09,54.82,53.5,54.79,1445668
"2016-03-10",57,57,54.57,55.95,2404867
"2016-03-17",56.92,57.34,56.39,57.06,1590220
"2016-03-24",56.96,57.53,56.18,57.37,1149825
"2016-03-31",57.83,58.62,57.47,58.31,1340660
"2016-04-07",57.36,57.51,56.32,56.39,1435730
"2016-04-14",57.76,58.4,57.41,58.08,990518
"2016-04-21",59.44,60.49,59.42,60.07,1754940
"2016-04-28",60.81,62.34,60.72,61.39,2487665
"2016-05-05",59.07,59.39,58.34,58.46,1473754
"2016-05-12",59.26,59.58,57.23,58.06,1640458
"2016-05-19",57.69,58.24,56.83,57.52,2233421
"2016-05-26",58.87,59.12,57.9,58.11,1460681
"2016-06-02",58.23,58.77,57.75,58.76,1032141
"2016-06-09",58.23,58.45,57.66,57.79,893517
"2016-06-16",56.16,56.87,55.71,56.77,1437504
"2016-06-23",58.01,59.07,57.75,59.06,1410187
"2016-06-30",53.3,54.14,52.99,54.14,1875376
"2016-07-07",53.13,53.6,52.94,53.53,1143763
"2016-07-14",57.57,58.28,56.9,58.16,1840717
"2016-07-21",58.12,58.88,57.54,57.58,1176398
"2016-07-28",59.49,60.25,59.12,59.45,942911
"2016-08-04",58.09,58.87,57.96,58.25,1631293
"2016-08-11",60.49,61.75,58.78,61.71,1629216
"2016-08-18",62.89,63.76,62.72,63.5,1951122
"2016-08-25",63.21,63.92,63,63.7,3075495
"2016-09-01",67.42,67.67,66.78,67.37,1299821
"2016-09-08",68.41,69.15,68.16,68.81,1640543
"2016-09-15",65.7,67.4,65.5,67.39,2290616
