"","CERN.Open","CERN.High","CERN.Low","CERN.Close","CERN.Volume"
"2016-03-03",51.12,51.28,49.59,50,5546581
"2016-03-10",53.65,54.45,52.83,53.4,2560380
"2016-03-17",52.59,52.88,51.91,52.3,1653826
"2016-03-24",52.49,52.9,51.13,51.46,3627775
"2016-03-31",52.56,53.37,52.52,52.96,1903201
"2016-04-07",55.8,56.48,55.65,55.98,3327559
"2016-04-14",55.94,56.52,55.78,56.44,1272823
"2016-04-21",58.17,58.85,58.08,58.46,1780202
"2016-04-28",57.57,58.31,57.08,57.65,1349836
"2016-05-05",55.72,56.37,55.35,55.46,2374726
"2016-05-12",54.7,54.88,53.85,54.46,1688035
"2016-05-19",53.25,53.78,52.84,53.62,1875313
"2016-05-26",55.17,55.26,54.7,54.98,989300
"2016-06-02",55.46,55.86,54.98,55.61,2189794
"2016-06-09",56.93,57.36,56.45,56.96,1286640
"2016-06-16",54.28,54.41,53.38,54.36,2230911
"2016-06-23",56.28,57.32,56.05,56.89,3153148
"2016-06-30",57.67,58.74,57.37,58.6,3063113
"2016-07-07",58.73,59.73,58.04,59.61,3551576
"2016-07-14",60.86,60.96,60.08,60.8,1574560
"2016-07-21",61.75,62.34,61.68,61.99,1565063
"2016-07-28",62.01,62.61,61.94,62.24,1414824
"2016-08-04",65.97,67.02,65.92,66.3,2503398
"2016-08-11",66.63,67.26,66.5,67.06,1409592
"2016-08-18",65.35,65.5,64.91,65.15,1909245
"2016-08-25",64.41,64.86,63.77,64.47,1366736
"2016-09-01",64.75,65.14,64.04,65.01,1360065
"2016-09-08",64.31,64.69,63.7,64.14,1981938
"2016-09-15",62.16,63.13,62.01,62.77,1728165
