"","DIS.Open","DIS.High","DIS.Low","DIS.Close","DIS.Volume"
"2015-05-13",109.7,109.87,108.78,109.19,4141357
"2015-05-14",109.69,110,109.01,109.93,4662043
"2015-05-15",110.1,110.69,109.68,110.3,5852173
"2015-05-18",110.47,110.74,110.01,110.33,4868918
"2015-05-19",110.69,110.99,110.47,110.56,4549640
"2015-05-20",110.78,110.81,110.02,110.2,4393474
"2015-05-21",110.04,110.64,109.9,110.39,4880577
"2015-05-22",110.3,110.9,110.12,110.26,4267697
"2015-05-26",110.17,110.85,108.76,109.44,5970756
"2015-05-27",109.51,110.61,109.3,110.37,3984196
"2015-05-28",110.11,110.54,109.6,110.53,3391980
"2015-05-29",110.33,110.52,109.41,110.37,5264878
"2015-06-01",111.48,111.77,110.55,110.96,6778890
"2015-06-02",110.92,111.25,110.02,110.75,4425947
"2015-06-03",111.28,111.82,110.5,111.17,4510344
"2015-06-04",110.95,111.25,109.99,110.3,5748198
"2015-06-05",110.3,110.77,109.8,110.3,4323537
"2015-06-08",110.03,110.24,109.21,109.29,6068142
"2015-06-09",109.35,109.41,107.65,108.52,7711756
"2015-06-10",108.9,110.25,108.73,110,5128742
"2015-06-11",110.01,110.96,110.01,110.62,5036279
"2015-06-12",110.33,110.53,109.54,109.95,4009859
"2015-06-15",109.27,110.41,108.93,110.18,5742208
"2015-06-16",110.35,111.29,109.9,111.06,3848346
"2015-06-17",111.2,111.94,110.88,111.49,4732297
"2015-06-18",111.83,113.55,111.58,113.22,6929896
"2015-06-19",112.83,113.48,112.4,112.62,9587721
"2015-06-22",113.4,114.47,113.27,113.53,5906156
"2015-06-23",113.93,114.52,113.72,114.41,6003070
"2015-06-24",114.3,114.56,113.71,113.77,5636168
"2015-06-25",114.62,115.28,114.39,114.45,6213483
"2015-06-26",114.97,115.18,114.41,114.99,9509570
"2015-06-29",114.16,115.19,113,113.05,7618224
"2015-06-30",113.93,114.86,113.55,114.14,6946744
"2015-07-01",114.95,115.25,114.34,115.13,5435397
"2015-07-02",115.38,115.67,114.45,114.97,5549504
"2015-07-06",114.47,115.86,114.27,115.7,5880490
"2015-07-07",116.42,117.19,114.86,117.1,8359934
"2015-07-08",116.5,116.68,115.11,115.19,8445169
"2015-07-09",116.83,117.21,115.51,115.6,7016849
"2015-07-10",117.05,117.43,115.67,116.44,7020711
"2015-07-13",117.75,118.31,117.25,118.05,7595237
"2015-07-14",118.03,118.14,117.7,117.85,5061659
"2015-07-15",118.04,118.9,117.85,118.3,4845200
"2015-07-16",119,119.15,118.54,119.07,6303045
"2015-07-17",118.69,118.9,118.03,118.86,5109909
"2015-07-20",119.29,119.9,118.89,119.58,6950952
"2015-07-21",119.76,119.8,118.83,119.31,4785194
"2015-07-22",119.28,119.7,118.93,119.33,4714082
"2015-07-23",119.3,119.67,118.57,118.8,3347184
"2015-07-24",119.35,119.8,118.58,118.91,4320854
"2015-07-27",118.63,118.8,117.78,118.25,5179267
"2015-07-28",118.68,118.9,117.87,118.46,6447319
"2015-07-29",118.85,119.86,118.41,119.84,6083479
"2015-07-30",119.71,120.35,119.01,120.03,4430097
"2015-07-31",120.12,120.72,119.6,120,5767280
"2015-08-03",120.88,121.73,120.17,121.12,8426894
"2015-08-04",121.5,122.08,120.61,121.69,12624387
"2015-08-05",110.83,113.95,109.5,110.53,61011209
"2015-08-06",110.4,110.4,104.24,108.55,57175170
"2015-08-07",108.75,109.56,107.66,109.35,15791550
"2015-08-10",110,111,109.74,111,11617048
"2015-08-11",110.34,110.49,107.95,108,13573984
"2015-08-12",107,107.44,105.51,106.99,17020546
"2015-08-13",107.21,108.51,106.75,107.52,9754466
"2015-08-14",107.61,107.67,106.52,107.16,7104463
"2015-08-17",107.3,109.28,106.84,109.05,7954040
"2015-08-18",108.04,108.25,106.8,106.94,12021536
"2015-08-19",106.58,107.75,105.77,106.45,9484448
"2015-08-20",104.34,105,99.76,100.02,34585476
"2015-08-21",97.5,100.63,96.61,98.84,30819748
"2015-08-24",93.38,100,90,95.36,29937482
"2015-08-25",99.73,100.09,95.72,95.89,18995798
"2015-08-26",98.69,99.49,96.26,99.23,13716696
"2015-08-27",101.35,102.62,99.78,102.17,17398890
"2015-08-28",102.19,103.34,101.81,102.48,10993542
"2015-08-31",102.3,102.46,100.91,101.88,8506695
"2015-09-01",99.31,101.34,99.16,99.51,14170166
"2015-09-02",100.92,101.94,99.55,101.89,12116840
"2015-09-03",102.2,103.03,101.46,101.99,8934628
"2015-09-04",100.96,101.82,100.36,100.97,9186110
"2015-09-08",102.95,104.15,102.52,104.01,8513280
"2015-09-09",104.75,104.95,101.68,101.91,9496560
"2015-09-10",101.85,103.22,101.33,102.6,9009786
"2015-09-11",102.35,104.5,102.2,104.48,9512130
"2015-09-14",104.65,104.9,102.99,103.82,6955743
"2015-09-15",103.25,103.8,101.83,103.43,9161782
"2015-09-16",103.32,104.07,102.75,103.96,6504616
"2015-09-17",104.2,105.95,103.75,104.2,7656434
"2015-09-18",103.2,104.21,102.39,102.84,13475340
