"","INTU.Open","INTU.High","INTU.Low","INTU.Close","INTU.Volume"
"2016-04-07",104.33,104.44,102.64,103.17,1257970
"2016-04-14",103.96,104.05,102.82,102.93,1270595
"2016-04-21",103.74,103.93,102.28,102.3,1218857
"2016-04-28",102.66,102.81,101.07,101.37,1329270
"2016-05-05",100.15,101.34,100,100.4,1060905
"2016-05-12",102.41,103.06,101.21,102.21,713296
"2016-05-19",101.77,102.47,100.72,101.42,832513
"2016-05-26",105,107.74,104.88,106.83,2657949
"2016-06-02",106.93,108.25,106.5,108.12,1137708
"2016-06-09",107.08,107.58,106.7,107.52,1490574
"2016-06-16",105.84,106.71,105.24,106.49,863279
"2016-06-23",108.03,108.95,107.12,108.95,1418507
"2016-06-30",109.37,111.79,109.1,111.61,2191508
"2016-07-07",113.19,114.26,112.86,114.25,1074470
"2016-07-14",116.52,116.87,115.64,116.39,881714
"2016-07-21",114.48,114.49,112.71,113.19,961420
"2016-07-28",112.65,113,111.42,112.04,2383875
"2016-08-04",110.17,110.62,109.71,109.9,757244
"2016-08-11",112.91,113.57,112.49,113.15,843170
"2016-08-18",112.52,113.16,111.99,112.54,934298
"2016-08-25",109.95,110.86,109.57,110,1553890
"2016-09-01",111.28,112.35,110.85,112.34,1339907
"2016-09-08",111.44,111.98,110.83,110.96,1204246
"2016-09-15",108.14,109.97,107.64,109.76,1536056
