"","D.Open","D.High","D.Low","D.Close","D.Volume"
"2016-02-24",70.92,71.3,70.33,71.22,3482325
"2016-02-25",71.34,71.87,71.16,71.83,2114710
"2016-02-26",71.6,71.75,69.91,70.02,2798787
"2016-02-29",70.01,70.73,69.85,69.92,3606043
"2016-03-01",70.33,70.42,69.56,69.95,2509265
"2016-03-02",69.06,69.25,67.58,68.77,4450575
"2016-03-03",68.89,70.02,68.29,69.99,3726444
"2016-03-04",69.54,70.78,69.32,70.62,2772696
"2016-03-07",70.25,71.38,70.13,71.22,2381223
"2016-03-08",71.09,71.78,70.71,71.72,3041772
"2016-03-09",71.7,72.33,71.6,72.1,2312426
"2016-03-10",72.12,72.24,71.06,71.59,2181927
"2016-03-11",71.8,72.34,71.6,72.22,1879427
"2016-03-14",72.34,72.47,71.91,72.34,1862584
"2016-03-15",72.16,73.07,72.12,72.99,2094820
"2016-03-16",72.75,73.8,72.09,73.56,2901542
"2016-03-17",73.76,74.9,73.36,74.55,3286087
"2016-03-18",74.61,74.89,73.45,73.46,4696724
"2016-03-21",73.65,73.81,72.6,73.63,2448932
"2016-03-22",73.71,73.74,72.92,72.96,3001083
"2016-03-23",73.18,73.74,72.63,73.51,1822117
"2016-03-24",73.51,73.59,73.03,73.42,1594570
"2016-03-28",73.64,74.04,73,73.15,1976998
"2016-03-29",73.47,74.7,73.09,74.64,2750935
"2016-03-30",74.79,74.9,74.1,74.75,1958613
"2016-03-31",74.54,75.18,74.31,75.12,2716337
"2016-04-01",74.78,75.5,74.36,75.39,2347711
"2016-04-04",75.22,75.22,74.29,74.58,2009399
"2016-04-05",73.6,73.74,72.14,73.05,7974939
"2016-04-06",72.89,73.23,72.34,72.75,4226590
"2016-04-07",72.62,73.23,72.54,72.97,2331645
"2016-04-08",73.24,73.5,72.83,73.04,2416553
"2016-04-11",73.1,73.59,72.83,72.87,2623753
"2016-04-12",72.91,73.32,72.78,73.22,2776285
"2016-04-13",73.44,73.44,72.41,72.8,1788390
"2016-04-14",72.8,73.1,72.41,72.7,1602945
"2016-04-15",72.87,73.26,72.58,73.05,2401712
"2016-04-18",73,73.16,72.16,72.87,2656703
"2016-04-19",72.78,73.15,72.48,72.82,2431108
"2016-04-20",72.98,73.09,71.02,71.08,2552040
"2016-04-21",71.08,71.08,69.28,69.51,3552095
"2016-04-22",69.6,70.25,69.6,70.06,2533633
"2016-04-25",70.07,70.34,69.78,70.2,2588527
"2016-04-26",70.25,70.57,69.69,69.9,2322636
"2016-04-27",70.14,71.22,69.94,70.75,3224917
"2016-04-28",70.22,71.09,70.05,71.03,2678150
