"","VMC.Open","VMC.High","VMC.Low","VMC.Close","VMC.Volume"
"2015-12-24",96.86,97.55,96.54,96.82,261540
"2015-12-31",95.12,96.07,94.52,94.97,689672
"2016-01-07",88.53,90.41,87.75,88.3,1953973
"2016-01-14",83.67,85.87,82.56,85.31,2195325
"2016-01-21",82.09,83.39,80.34,82.24,1004028
"2016-01-28",84.66,85.56,82.98,83.24,578861
"2016-02-04",92.26,95.44,91.5,93.77,2700717
"2016-02-11",91.42,91.93,88.83,89.99,1555342
"2016-02-18",94.67,95.51,93.71,94.12,955997
"2016-02-25",97.3,98.85,96.06,97.98,654959
"2016-03-03",102.5,103.17,101.23,102.71,1095459
"2016-03-10",103,103.75,101.91,103.22,931588
"2016-03-17",103.22,105.27,103.04,104.69,1089969
"2016-03-24",104.4,105.15,104.04,105.11,534318
"2016-03-31",105.68,106.78,104.33,105.57,1162187
"2016-04-07",105.96,106.18,105.08,105.85,787494
"2016-04-14",107,107,106.12,106.58,824674
"2016-04-21",109.24,109.6,107.88,107.96,642705
"2016-04-28",109.88,110.96,108.55,108.68,1003467
"2016-05-05",113.28,114.52,112.2,114.5,1440588
"2016-05-12",116.02,117.12,114.92,116.12,841950
"2016-05-19",114.63,114.87,113.35,113.89,951483
"2016-05-26",120.07,120.4,118.79,119.26,974040
"2016-06-02",116.25,116.61,114.67,115.51,1202417
"2016-06-09",117.53,118,116.61,116.83,472900
"2016-06-16",112.85,114.48,112.16,114.08,831722
"2016-06-23",117,119.08,116.86,119.04,634541
"2016-06-30",118.95,120.83,118.37,120.36,1123160
"2016-07-07",122.25,122.25,120.96,121.81,426420
"2016-07-14",126.43,126.85,124.08,124.73,849631
"2016-07-21",125.17,125.64,124,125.42,923808
"2016-07-28",125.46,127.2,125.25,126.94,549496
"2016-08-04",117.61,118.42,116.95,117.7,807685
"2016-08-11",121.76,122.47,120.72,121.1,1017223
"2016-08-18",117.07,118.67,116.8,118.1,629948
"2016-08-25",120.21,120.21,117.02,117.56,1234804
"2016-09-01",113.32,113.32,110.68,112.38,1919288
"2016-09-08",112.97,113.42,111.18,111.39,1248190
"2016-09-15",109.34,110.28,108.18,109.75,1128389
