"","AIV.Open","AIV.High","AIV.Low","AIV.Close","AIV.Volume"
"2015-05-28",38.1,38.32,37.98,38.24,1182137
"2015-06-04",37.18,37.36,37.02,37.2,799153
"2015-06-11",37.23,37.66,36.87,37.5,2150899
"2015-06-18",37.93,38.75,37.9,38.47,1039462
"2015-06-25",37.18,37.44,37,37.13,645920
"2015-07-02",38.16,38.59,37.86,38.03,934917
"2015-07-09",38.84,39.21,38.47,38.63,987025
"2015-07-16",39.2,39.71,39.04,39.41,888266
"2015-07-23",39.88,40.11,39.57,39.79,1361706
"2015-07-30",39.51,39.68,39.34,39.42,1379362
"2015-08-06",38.99,39.18,38.45,39.14,963338
"2015-08-13",39.8,39.98,39.38,39.61,1546809
"2015-08-20",39.73,39.79,39.36,39.44,716396
"2015-08-27",36.96,37.38,36.2,37.16,1670086
"2015-09-03",35.83,35.95,35.31,35.65,1084238
"2015-09-10",34.81,35.73,34.81,35.24,1349251
"2015-09-17",36.11,37.04,35.88,36.41,1726288
"2015-09-24",36.52,36.64,35.87,36.18,992583
"2015-10-01",37.21,37.6,36.96,37.54,1216080
"2015-10-08",38.62,39.08,38.37,39,1075766
"2015-10-15",38.81,39.4,38.64,39.4,657335
"2015-10-22",40.3,40.61,40.1,40.23,1537241
"2015-10-29",39.55,40.11,39.4,39.96,1104167
"2015-11-05",38.2,38.45,38,38.27,1540246
"2015-11-12",36.77,36.97,36.53,36.56,928897
"2015-11-19",36.93,37.3,36.79,36.98,975133
"2015-12-03",37.94,38.13,37.44,37.49,1628092
"2015-12-10",38.25,38.4,37.62,37.62,985181
"2015-12-17",39.77,39.89,39.33,39.53,1472458
"2015-12-24",39.71,39.75,39.44,39.62,275766
"2015-12-31",40.42,40.49,40.01,40.03,856375
"2016-01-07",39.76,40.1,39.67,39.97,1580156
"2016-01-14",38.56,38.8,37.76,37.81,1858915
"2016-01-21",37.16,37.47,36.51,36.95,1563163
"2016-01-28",38.1,38.86,37.55,38.11,1940457
"2016-02-04",39.37,39.97,39.03,39.68,1435435
"2016-02-11",35.51,36.04,35.47,35.77,1450429
"2016-02-18",36.23,36.5,36,36.35,1519640
"2016-02-25",36.25,36.77,36.25,36.62,1436782
"2016-03-03",38.4,38.59,37.95,38.58,707276
"2016-03-10",38.76,38.91,38.05,38.47,673390
"2016-03-17",39.8,40.68,39.55,40.53,731155
"2016-03-24",40.26,40.44,39.94,40.37,849658
"2016-03-31",41.67,41.95,41.47,41.82,1234201
"2016-04-07",41.86,42.13,41.53,41.87,884806
"2016-04-14",40.53,40.54,39.45,39.6,1776579
"2016-04-21",40.02,40.21,39.45,39.57,834418
"2016-04-28",39.89,40.6,39.89,40.06,966487
"2016-05-05",42.12,42.65,41.92,42.31,1091996
"2016-05-12",42.44,42.51,41.9,42.5,1162966
"2016-05-19",41.19,41.42,41.03,41.18,680540
"2016-05-26",42.22,42.69,42.02,42.64,1238721
"2016-06-02",41.65,41.85,41.06,41.63,2114939
"2016-06-09",40.35,40.96,40.11,40.92,1422249
"2016-06-16",41.26,41.65,41.08,41.57,1257658
"2016-06-23",42.14,42.35,41.91,42.12,562131
"2016-06-30",43.43,44.16,43.13,44.16,1468206
"2016-07-07",45.16,45.16,44.52,44.89,906981
"2016-07-14",45.95,46.24,45.66,45.73,1333727
"2016-07-21",44.99,45.06,44.64,44.8,1429888
"2016-07-28",43.68,44.73,43.64,44.26,994414
"2016-08-04",45.05,45.18,44.72,44.88,989005
"2016-08-11",45.48,45.51,44.58,44.87,849129
"2016-08-18",44.22,44.46,43.81,44.2,944568
"2016-08-25",44.06,45.25,44.06,44.87,1087476
"2016-09-01",45.1,45.39,44.64,45.38,1114612
"2016-09-08",46.66,46.67,45.54,45.55,2563769
"2016-09-15",43.65,44.11,43.57,43.84,759292
