"","AEP.Open","AEP.High","AEP.Low","AEP.Close","AEP.Volume"
"2014-08-21",52.46,52.97,52.42,52.8,2431979
"2014-08-28",52.95,53.4,52.9,53.32,1744426
"2014-09-04",53.3,53.41,52.75,53,2261386
"2014-09-11",53.02,53.63,52.96,53.54,2041087
"2014-09-18",53.32,53.45,52.52,52.74,1704842
"2014-09-25",52.49,52.66,52.08,52.09,1900133
"2014-10-02",52.37,52.78,52.18,52.28,2363099
"2014-10-09",54.12,54.43,53.47,53.56,3677410
"2014-10-16",53.57,54.06,52.86,53.94,3612461
"2014-10-23",56.04,56.3,55.06,55.28,4535385
"2014-10-30",57.01,58.3,56.87,58.27,3226747
"2014-11-06",58.55,58.76,57.07,57.87,4770605
"2014-11-13",56.87,57.25,56.17,56.31,2860601
"2014-11-20",57.09,57.55,56.77,57.23,2195787
"2014-12-04",58.52,58.78,58.06,58.44,2159840
"2014-12-11",58.49,59.27,58.46,58.86,2156191
"2014-12-18",59.03,59.99,58.82,59.98,2622714
"2015-01-08",61.63,62.19,61.63,61.97,2473982
"2015-01-15",62.8,63.39,62.54,63.16,2608999
"2015-01-22",64.56,64.63,63.67,64.08,1944667
"2015-01-29",63.36,63.99,62.75,63.72,3007704
"2015-02-05",62.56,62.69,61.89,62.45,2203151
"2015-02-12",58.28,58.52,57.75,57.98,3705159
"2015-02-19",58.92,59.07,58.03,58.41,2956497
"2015-02-26",58.22,58.42,57.3,57.41,3200636
"2015-03-05",57,57.5,56.84,57.08,2319865
"2015-03-12",55.04,56.23,54.93,55.97,2256914
"2015-03-19",57.39,57.95,56.86,57.05,2227224
"2015-03-26",55.8,56.23,55.09,55.33,3077175
"2015-04-02",56.32,56.65,56.16,56.46,2277322
"2015-04-09",56.05,56.08,55.38,55.79,1925964
"2015-04-16",56.18,56.22,55.53,55.85,2762002
"2015-04-23",56.84,57.12,56.33,56.9,2776156
"2015-04-30",57.54,57.61,56.42,56.87,3815708
"2015-05-07",55.24,55.72,55.03,55.26,2180235
"2015-05-14",54.56,55.31,54.55,55.1,2306435
"2015-05-21",55.91,56.05,55.54,55.81,2026474
"2015-05-28",56.01,56.33,55.62,56.1,2135839
"2015-06-04",54.15,54.66,54.12,54.29,3265477
"2015-06-11",54.36,54.51,54.12,54.31,2495940
"2015-06-18",54.11,54.99,54.11,54.83,2069796
"2015-06-25",52.98,53.2,52.62,52.62,1959851
"2015-07-02",53.52,54.33,53.51,54.23,2125320
"2015-07-09",56.1,56.33,55.23,55.52,3339561
"2015-07-16",55.72,56.44,55.62,56.36,2497283
"2015-07-23",55.33,55.33,54.22,54.59,3534325
"2015-07-30",55.66,56.61,55.57,56.32,1994096
"2015-08-06",56.03,56.32,55.34,56.26,2205516
"2015-08-13",57.33,57.74,56.88,57.55,1887311
"2015-08-20",58.42,59.18,58.12,58.37,1855989
"2015-08-27",54.58,54.93,54.11,54.91,2903195
"2015-09-03",53.05,53.53,53,53.35,2340184
"2015-09-10",53.41,53.87,53.18,53.39,2172351
"2015-09-17",54.67,56.44,54.54,55.87,5222210
"2015-09-24",54.85,55.6,54.74,55.46,3816295
"2015-10-01",56.92,57,55.79,56.14,4212347
"2015-10-08",56.01,56.96,55.94,56.87,3398340
"2015-10-15",58.35,58.81,57.89,58.72,2753950
"2015-10-22",58.51,59.27,58.19,59.17,4100262
"2015-10-29",56.78,57,55.52,56.21,3446340
"2015-11-05",56.71,56.97,56.42,56.49,2323231
"2015-11-12",55.38,56,55.03,55.32,2635674
"2015-11-19",55.59,56.52,55.53,56.32,3749824
"2015-12-03",55.04,55.32,54.5,54.7,3463399
"2015-12-10",56.28,56.33,54.81,54.88,3724171
"2015-12-17",56.97,58.03,56.85,57.42,4305359
"2015-12-24",58.14,58.54,58.05,58.4,1337101
"2015-12-31",58.82,59.44,57.69,58.27,2457811
"2016-01-07",58.47,58.98,58.17,58.35,3847230
"2016-01-14",58.28,59.56,57.9,59.14,4091535
"2016-01-21",57.38,58.38,57.1,57.64,3986025
"2016-01-28",57.13,59.84,56.75,59.45,4537268
"2016-02-04",63.15,63.34,62.03,62.29,4105192
"2016-02-11",62.53,63,61.28,61.31,3271295
"2016-02-18",61.29,62.78,60.92,62.45,2923901
"2016-02-25",63.17,63.9,63.02,63.89,1762482
"2016-03-03",61.78,61.85,60.66,61.77,3879081
"2016-03-10",64.3,64.44,63.48,64.13,1951345
"2016-03-17",65.2,65.63,64.85,65.43,2374067
"2016-03-24",65.02,65.4,64.72,65.06,3985109
"2016-03-31",66.01,66.49,65.77,66.4,2763267
"2016-04-07",65.47,65.98,65.37,65.5,1518685
"2016-04-14",65.61,65.98,65.46,65.59,1122251
"2016-04-21",63.6,63.6,62.01,62.26,4528346
"2016-04-28",61.85,63.41,61.42,63.06,5010098
"2016-05-05",65.19,65.96,64.78,65.15,2815491
"2016-05-12",65.12,65.85,64.78,65.66,2145912
"2016-05-19",63.18,63.87,62.61,63.85,2869173
"2016-05-26",63.33,64.38,63.32,64.33,3277293
"2016-06-02",64.69,64.84,64.04,64.68,1948908
"2016-06-09",66.21,67.01,66.11,66.96,1803086
"2016-06-16",66.37,67.04,66.25,66.88,2217568
"2016-06-23",66.61,66.63,66.1,66.59,1830959
"2016-06-30",68.82,70.1,68.58,70.09,2858386
"2016-07-07",70.96,70.98,70.12,70.28,2989803
"2016-07-14",69.46,69.9,69.15,69.38,2473277
"2016-07-21",69.18,69.45,68.7,69.43,3198286
"2016-07-28",68.97,69.22,68.58,68.92,2641214
"2016-08-04",68.57,69.04,68.39,68.64,1797590
"2016-08-11",67.6,67.73,67.21,67.72,2133553
"2016-08-18",66.37,67.42,66.27,67.4,3464238
"2016-08-25",66.41,66.64,66.22,66.37,1594196
"2016-09-01",64.41,64.7,64.22,64.41,2030777
"2016-09-08",65.89,66.35,65.77,66.1,1834065
"2016-09-15",63.94,64.48,63.71,64.3,2461836
