"","TMO.Open","TMO.High","TMO.Low","TMO.Close","TMO.Volume"
"2015-08-20",133.58,133.7,132.25,132.34,2275531
"2015-08-27",126.72,128.1,125.57,127.91,2136408
"2015-09-03",123.26,124.25,122.38,122.77,2375364
"2015-09-10",121.23,122.63,121.06,122.03,1877101
"2015-09-17",126.42,130.76,126.01,128.23,3050188
"2015-09-24",123.81,124.24,122.69,124,1479129
"2015-10-01",122.7,123.06,121,122.1,2038300
"2015-10-08",124.73,125.85,124.13,125.85,1499829
"2015-10-15",124.3,125.54,123.54,125.47,2240858
"2015-10-22",127.76,128.04,123.67,124,3270492
"2015-10-29",129.23,131.51,128.9,131.38,1723833
"2015-11-05",134.75,135.73,133.74,134.95,1752056
"2015-11-12",133.81,134.93,132.42,132.44,1274302
"2015-11-19",137.78,138.58,137.16,137.4,1556105
"2015-12-03",136.74,137.62,131.78,132.57,2367641
"2015-12-10",134.42,136.1,133.98,135.13,1056728
"2015-12-17",140.28,140.52,138.1,138.16,1863387
"2015-12-24",140.94,141.75,140.75,141.32,370701
"2015-12-31",141.97,143.21,141.84,141.85,1144968
"2016-01-07",135,135.26,133.14,134.31,2470850
"2016-01-14",133.64,137.36,133.44,135.79,2833583
"2016-01-21",133.47,133.61,130.74,131.68,2193874
"2016-01-28",130.86,133,127.18,128.17,4610124
"2016-02-04",126.36,128.61,125.95,127.8,2311137
"2016-02-11",122.86,124.29,122.25,123.3,1428001
"2016-02-18",130.26,131.37,129.29,129.69,1261385
"2016-02-25",130,130.99,129.08,130.57,963719
"2016-03-03",137.75,139.04,136.46,138.67,2122105
"2016-03-10",138.94,140.16,136.7,137.96,2398657
"2016-03-17",138.81,139.33,136.58,138.25,2386229
"2016-03-24",138.15,139.22,137.4,139.02,992841
"2016-03-31",140.75,142.21,140.14,141.59,1158116
"2016-04-07",144.45,144.53,141.43,142.05,1292416
"2016-04-14",145.34,145.77,144.5,144.62,706141
"2016-04-21",146.12,147.77,145.77,147.35,1312791
"2016-04-28",147.21,147.9,143.28,145.32,3037339
"2016-05-05",144.18,145.78,143.79,145.14,1224014
"2016-05-12",148.29,149.26,147.58,148.92,1202251
"2016-05-19",149.51,149.56,146.93,148.42,1423766
"2016-05-26",150.93,151.85,150.51,151.2,911431
"2016-06-02",152.58,153.7,152.31,153.55,809551
"2016-06-09",153.6,154.81,153.01,154.15,1002555
"2016-06-16",146.64,147.4,145.23,147.23,1335130
"2016-06-23",151.5,152.19,150.8,152.14,1136935
"2016-06-30",145.59,147.78,145.12,147.76,2419779
"2016-07-07",148.84,149.73,148.45,149.06,1331887
"2016-07-14",156.6,158.07,155.7,157.73,2033491
"2016-07-21",157.53,157.79,155.72,156.2,1151429
"2016-07-28",157.16,159.26,156.56,158.82,1654701
"2016-08-04",156.62,157.69,156.25,156.42,893257
"2016-08-11",156.24,157.55,155.84,157.46,781149
"2016-08-18",154.22,154.47,152.74,153.35,2155827
"2016-08-25",151.29,152.39,150.75,151.35,1358058
"2016-09-01",152.65,152.83,150.4,150.95,1305968
"2016-09-08",150.4,151.24,150.38,150.65,1399386
"2016-09-15",148.37,150.81,147.95,150,2119543
