"","KMB.Open","KMB.High","KMB.Low","KMB.Close","KMB.Volume"
"2016-01-14",125.93,127.83,125.55,127.21,2384621
"2016-01-21",123.99,125.34,123.01,124.95,2244359
"2016-01-28",124.64,126.79,123.7,126.27,1505920
"2016-02-04",129.58,130.25,128.07,128.75,2583864
"2016-02-11",127.95,128.28,124.65,126.42,2473810
"2016-02-18",130.36,130.99,129.4,129.75,1505636
"2016-02-25",132.5,133.53,131.88,133.5,1170605
"2016-03-03",131.11,131.71,130.17,131.63,1526417
"2016-03-10",132.69,133.07,130.46,131.88,1840518
"2016-03-17",135.18,136.61,134.97,136.01,1314776
"2016-03-24",133.66,133.87,132.82,133.55,1098012
"2016-03-31",135.27,135.87,134.4,134.51,1215559
"2016-04-07",136.55,136.99,136,136.65,1009981
"2016-04-14",135.98,137.55,135.74,136.04,2040401
"2016-04-21",135.38,135.49,131.74,131.75,2983660
"2016-04-28",125.16,126.83,125,126.24,2388261
"2016-05-05",127.9,129.2,127.08,127.36,2166175
"2016-05-12",129.56,130.57,129.24,130.06,1038686
"2016-05-19",125.73,126.87,125.41,126.8,1137278
"2016-05-26",127.27,128.12,127.12,127.92,1312256
"2016-06-02",127.88,128,127.04,128,1298826
"2016-06-09",129.32,130.78,129.29,130.69,794906
"2016-06-16",131.58,133.1,131.28,133.05,1050328
"2016-06-23",133.39,134.01,133.2,133.96,937556
"2016-06-30",134.76,137.48,134.26,137.48,1767244
"2016-07-07",136.79,136.8,133.54,134.22,3703462
"2016-07-14",135.94,136.87,135.64,135.89,1040736
"2016-07-21",133.79,134.01,133.02,133.36,1502874
"2016-07-28",130.67,131.01,129.49,130.15,2267931
"2016-08-04",129.3,130.35,129.06,130.13,1291711
"2016-08-11",130.76,130.87,128.83,128.94,1608894
"2016-08-18",127.58,127.91,127.24,127.45,1350714
"2016-08-25",128.45,129.46,128.29,128.4,1556138
"2016-09-01",128.01,128.34,127.38,128.12,1726068
"2016-09-08",126.95,127.09,125.56,125.91,1650360
"2016-09-15",121.87,122.96,121.75,122.44,1166309
