"","XOM.Open","XOM.High","XOM.Low","XOM.Close","XOM.Volume"
"2016-06-30",92.33,93.83,92.3,93.74,14073677
"2016-07-07",94.34,94.49,92.35,92.96,12240670
"2016-07-14",95.05,95.53,94.62,94.95,9293450
"2016-07-21",93.89,94.26,93.46,93.85,7759624
"2016-07-28",90.54,90.73,89.61,90.2,12439249
"2016-08-04",87.5,87.65,87.03,87.48,13451350
"2016-08-11",86.69,87.27,86.26,86.72,11616032
"2016-08-18",88.38,88.94,88.12,88.91,10342730
"2016-08-25",88.02,88.03,87.24,87.46,6935261
"2016-09-01",86.72,86.84,86.09,86.84,8434729
"2016-09-08",88.55,89.37,88.04,89.05,9579545
"2016-09-15",84.67,85.65,84.52,85.08,9251913
