"","LH.Open","LH.High","LH.Low","LH.Close","LH.Volume"
"2015-05-21",119.55,120.56,119.19,120.36,1081451
"2015-05-28",119.45,119.84,118.49,118.91,849796
"2015-06-04",116.63,120.08,116.63,119.73,1953834
"2015-06-11",121,121.52,120.85,121.14,903544
"2015-06-18",120.48,120.96,119.94,120.24,686903
"2015-06-25",119.06,122.06,118.51,120.95,1327648
"2015-07-02",121.91,122.13,120.41,120.75,1299151
"2015-07-09",119.11,120.05,119.06,119.44,1096318
"2015-07-16",122.92,123.81,122.27,123.69,614001
"2015-07-23",121.08,124.08,121.08,122.78,980048
"2015-07-30",126.27,126.75,124.88,125.62,1104245
"2015-08-06",127.51,127.62,124.87,125.5,919026
"2015-08-13",124.19,124.86,123.58,123.81,752847
"2015-08-20",124.27,124.82,122.16,122.16,736589
"2015-08-27",118.54,120.35,117.97,119.82,1009068
"2015-09-03",116.72,119.67,116.63,117.52,793217
"2015-09-10",117.18,118.01,116.85,117.52,830380
"2015-09-17",120.1,121.83,119.48,120.45,651089
"2015-09-24",116.05,116.26,114.58,115.31,1382971
"2015-10-01",108.29,110.68,107.3,110.18,1476690
"2015-10-08",111.43,112.19,110.17,111.71,894436
"2015-10-15",111.65,115.59,111.34,115.38,2190812
"2015-10-22",115.51,115.69,107.9,109.51,2748403
"2015-10-29",122.5,124.5,122.45,123.35,1012141
"2015-11-05",123.57,123.58,121.45,121.93,1308931
"2015-11-12",120.79,121.04,119.57,119.66,340761
"2015-11-19",123.78,123.96,119.52,120.29,1080485
"2015-12-03",124.3,124.66,120.05,121,1219193
"2015-12-10",122.62,124.17,122.26,122.59,528466
"2015-12-17",121.79,123.34,121.2,121.68,1073988
"2015-12-24",124.17,125.09,123.98,124.7,160647
"2015-12-31",123.76,124.67,123.23,123.64,604175
"2016-01-07",119.04,120.49,118.13,118.59,780557
"2016-01-14",112.08,112.69,110.39,111.69,1278700
"2016-01-21",109.98,110.54,108.58,109,940312
"2016-01-28",113.14,113.73,109.31,109.79,752621
"2016-02-04",108.15,109.5,107.32,108.33,634502
"2016-02-11",104.3,104.69,100.98,101.4,1278826
"2016-02-18",105.91,110.15,104.89,108.63,2059733
"2016-02-25",110.48,112.34,109.15,110.72,581514
"2016-03-03",109.74,112.14,109.66,111.92,1289320
"2016-03-10",111.5,112.03,110.48,111.43,948259
"2016-03-17",114.12,114.52,111.53,112.33,985301
"2016-03-24",113.12,114.04,112.16,114.02,594480
"2016-03-31",116.85,117.53,115.64,117.13,898854
"2016-04-07",118.71,120.07,117.88,118.46,665975
"2016-04-14",118.2,119.49,117.86,119.01,655291
"2016-04-21",118.78,122,118.35,121,2252783
"2016-04-28",126,128.3,125.27,125.57,747594
"2016-05-05",124.11,125.26,123.69,124.49,683031
"2016-05-12",126.95,127.18,124.54,125.76,527548
"2016-05-19",125.63,127.32,125.09,126.1,469763
"2016-05-26",127.58,127.95,126.3,127.31,515871
"2016-06-02",128.22,129.57,127.48,129.56,944303
"2016-06-09",131.36,131.99,130.45,131.19,475120
"2016-06-16",125.42,127.46,125,127.35,783270
"2016-06-23",130.56,131.6,130.28,131.18,1038812
"2016-06-30",129.71,130.56,128.29,130.27,1408620
"2016-07-07",132.2,132.98,131.81,131.97,982679
"2016-07-14",136.38,136.57,135.88,136.32,738022
"2016-07-21",137.9,139.26,137.42,137.88,718166
"2016-07-28",137.6,139.09,136.78,138.51,663067
"2016-08-04",140.44,140.81,139.58,140.09,930967
"2016-08-11",140.27,141.05,140.27,140.98,437406
"2016-08-18",138.29,139.04,138.04,138.71,519073
"2016-08-25",135.86,137.12,135.16,135.42,835899
"2016-09-01",136.93,137.14,135.5,136.13,465523
"2016-09-08",139.43,140.13,138.85,139.12,851438
"2016-09-15",133.06,135.26,132.58,134.68,631321
