"","ANDV.Open","ANDV.High","ANDV.Low","ANDV.Close","ANDV.Volume"
"2015-12-24",104.46,105.16,102.99,104.47,543026
"2015-12-31",103.73,106.93,103.44,105.37,1785490
"2016-01-07",104.2,107.29,103.9,107.03,2670814
"2016-01-14",92.11,96.87,89.3,96.49,3298883
"2016-01-21",86.7,87.18,83.9,85.24,2783373
"2016-01-28",84.8,85.8,82.42,83.75,2189097
"2016-02-04",79.12,82,77.18,79.79,3653025
"2016-02-11",72.89,73.85,70.6,72.01,2735419
"2016-02-18",71.47,71.54,67.8,68.64,3344570
"2016-02-25",78.56,79.11,76.11,77.75,2819949
"2016-03-03",83.6,86.47,83.04,85.99,2975406
"2016-03-10",88.5,88.58,84.49,86.08,2662729
"2016-03-17",86.52,88.68,84.72,87.7,2463917
"2016-03-24",90.05,93.5,89.84,92.49,2748095
"2016-03-31",85.96,86.91,83.34,86.01,3463380
"2016-04-07",81.74,83.4,81.03,81.82,1714469
"2016-04-14",85.61,85.84,83.09,83.32,1291147
"2016-04-21",83.87,84.21,82,83.98,1829034
"2016-04-28",86.73,87.85,84.92,85.19,1280013
"2016-05-05",79.64,80.42,76.65,77.86,3701597
"2016-05-12",78.32,78.67,74.62,75.61,2271061
"2016-05-19",79.05,81.26,77.12,77.85,1603251
"2016-05-26",78.34,78.41,76.56,77.34,1924310
"2016-06-02",79.79,82.95,79.56,81.51,2708508
"2016-06-09",80.05,80.58,78.34,78.75,1974844
"2016-06-16",72.5,73.94,71.55,73.44,1975658
"2016-06-23",77.4,78.37,76.92,77.78,1546444
"2016-06-30",75.3,75.56,73.07,74.92,2416644
"2016-07-07",71.62,73.98,69.56,70.01,2986160
"2016-07-14",74.92,76,74.01,75.8,1317939
"2016-07-21",77.9,78.29,76.3,76.31,1082301
"2016-07-28",76,76.97,74.81,75.78,1386348
"2016-08-04",76.72,76.96,73.8,74.22,3875690
"2016-08-11",76.24,76.88,74.68,75.99,2660168
"2016-08-18",75.93,76.08,74.37,75.75,2390546
"2016-08-25",75.9,75.9,73.57,74.1,2792851
"2016-09-01",75.29,75.41,73.03,73.31,2325103
"2016-09-08",80,81.82,79.4,81.5,3645248
"2016-09-15",79.74,82.39,79.74,81.25,2241234
