"","QQQ.Open","QQQ.High","QQQ.Low","QQQ.Close","QQQ.Volume"
"2016-03-08",104.3,105.21,103.97,104.15,28836631
"2016-03-09",104.57,104.84,103.96,104.82,30018684
"2016-03-10",105.31,105.86,103.31,104.66,44236090
"2016-03-11",105.8,106.49,105.46,106.49,31318700
"2016-03-14",106.08,106.92,106.06,106.67,25276725
"2016-03-15",106.27,106.75,105.95,106.63,26524632
"2016-03-16",106.37,107.86,106.34,107.58,29495578
"2016-03-17",107.26,107.77,106.87,107.52,28795203
"2016-03-18",107.46,107.64,106.8,107.37,34758800
"2016-03-21",107.16,107.89,107.12,107.79,17238948
"2016-03-22",107.18,108.37,107.16,108.12,18680629
"2016-03-23",107.91,107.99,106.99,107.23,20533969
"2016-03-24",106.67,107.29,106.53,107.26,18876321
"2016-03-28",107.56,107.58,106.92,107.11,13843507
"2016-03-29",106.93,108.9,106.73,108.83,29804854
"2016-03-30",109.48,110.04,109.13,109.36,23740932
"2016-03-31",109.3,109.69,109.03,109.2,21398817
"2016-04-01",108.58,110.4,108.39,110.36,25792524
"2016-04-04",110.31,110.44,109.68,109.94,16214733
"2016-04-05",109.08,109.5,108.74,108.88,19443246
"2016-04-06",109,110.71,108.99,110.67,24662865
"2016-04-07",110.04,110.22,108.61,109.08,28389097
"2016-04-08",109.77,110.02,108.62,109,22745447
"2016-04-11",109.48,110.02,108.58,108.6,24727066
"2016-04-12",108.66,109.72,108.02,109.51,28564087
"2016-04-13",110.32,111.08,110.21,110.91,25170829
"2016-04-14",110,111.33,110,110.92,17172215
"2016-04-15",110.83,111.06,110.36,110.64,21144161
"2016-04-18",110.33,111.26,110.25,111.23,16618792
"2016-04-19",111.44,111.44,109.88,110.55,42159034
"2016-04-20",110.54,111.15,110.17,110.64,17989623
"2016-04-21",110.58,111.05,110.15,110.65,19595029
"2016-04-22",109.21,109.72,108.12,108.98,39008662
"2016-04-25",108.62,108.99,108.45,108.98,14315922
"2016-04-26",109.2,109.39,108.12,108.45,15932444
"2016-04-27",107.34,107.83,106.69,107.58,32670302
"2016-04-28",107.69,108.33,106.07,106.28,29586542
"2016-04-29",106.22,106.5,104.88,105.72,67456946
"2016-05-02",105.97,106.87,105.55,106.72,24791002
"2016-05-03",105.96,106.44,105.45,105.73,36351365
"2016-05-04",105.12,105.48,104.79,105.05,26688987
"2016-05-05",105.43,105.66,104.81,105.02,20724819
"2016-05-06",104.51,105.6,104.4,105.58,29731474
"2016-05-09",105.61,106.37,105.54,105.88,18852056
"2016-05-10",106.26,107.38,106.07,107.33,21013460
"2016-05-11",107.16,107.49,106.33,106.36,20882993
"2016-05-12",106.68,106.74,105.14,105.89,29120573
"2016-05-13",105.85,106.45,105.29,105.5,21036800
"2016-05-16",105.67,107.21,105.56,106.82,18281569
"2016-05-17",106.74,107.04,105.2,105.48,28566079
"2016-05-18",105.29,106.43,105.04,105.86,27524388
"2016-05-19",105.45,105.7,104.54,105.31,27191261
"2016-05-20",105.74,106.9,105.67,106.47,28573202
"2016-05-23",106.55,106.97,106.23,106.33,13594759
"2016-05-24",106.92,108.59,106.88,108.46,27768702
"2016-05-25",108.86,109.57,108.68,109.24,37951655
"2016-05-26",109.35,109.7,109.09,109.56,21826407
"2016-05-27",109.65,110.14,109.61,110.13,19790152
"2016-05-31",110.28,110.51,109.78,110.34,24366106
"2016-06-01",110,110.6,109.91,110.35,19571528
"2016-06-02",110.13,110.59,109.53,110.58,15696618
"2016-06-03",110.37,110.42,109.34,110.06,20269923
"2016-06-06",110.25,110.75,110.07,110.46,12502365
"2016-06-07",110.53,110.63,110.13,110.18,12184296
"2016-06-08",110.37,110.6,109.96,110.37,14568699
"2016-06-09",109.93,110.31,109.71,110.19,17571631
"2016-06-10",109.2,109.4,108.56,108.94,32965003
"2016-06-13",108.34,108.93,107.89,108.03,25412177
"2016-06-14",107.78,108.42,107.24,108.03,24588506
"2016-06-15",108.32,108.44,107.54,107.72,24605701
"2016-06-16",107.17,108.14,106.5,108.04,32079929
"2016-06-17",107.53,107.68,106.24,106.49,29208832
"2016-06-20",107.73,108.24,107.08,107.16,20562769
"2016-06-21",107.33,107.72,107.1,107.5,22804112
"2016-06-22",107.58,108.19,107.15,107.24,22724174
"2016-06-23",108.09,108.79,107.62,108.77,18714227
"2016-06-24",104.81,106.5,104.06,104.29,68012733
"2016-06-27",103.6,103.6,101.75,102.22,50044303
"2016-06-28",103.33,104.51,103.3,104.46,28260604
"2016-06-29",105.26,106.53,105.23,106.31,31356723
"2016-06-30",106.52,107.61,106.13,107.54,36300819
"2016-07-01",107.49,108.48,107.45,108.08,19902803
"2016-07-05",107.58,107.66,106.84,107.42,21167903
"2016-07-06",106.92,108.35,106.57,108.3,24579270
"2016-07-07",108.39,108.86,108.11,108.62,19161748
"2016-07-08",109.17,110.36,109.02,110.3,29457871
"2016-07-11",110.68,111.34,110.66,110.93,20218504
"2016-07-12",111.59,111.79,111.34,111.49,21906145
"2016-07-13",111.79,111.82,111.21,111.22,21107762
"2016-07-14",111.96,112.19,111.7,111.98,20870986
"2016-07-15",112.22,112.3,111.55,111.8,17999312
"2016-07-18",111.86,112.74,111.85,112.54,20713924
"2016-07-19",112.17,112.48,111.93,112.13,18936702
"2016-07-20",112.75,113.65,112.6,113.44,24997929
"2016-07-21",113.52,113.74,112.87,113.18,18885367
"2016-07-22",113.28,113.78,112.91,113.65,20003363
"2016-07-25",113.56,113.69,113.28,113.66,12968085
"2016-07-26",113.63,114.2,113.22,113.79,21223845
"2016-07-27",114.76,114.88,114.1,114.58,27646113
"2016-07-28",114.76,115.11,114.4,114.98,16939662
"2016-07-29",115.24,115.54,114.87,115.23,22385320
"2016-08-01",115.31,118.78,115.17,115.84,13990077
"2016-08-02",115.68,115.77,114.22,114.96,21278383
"2016-08-03",114.88,115.35,114.8,115.34,15011273
"2016-08-04",115.32,115.78,115.03,115.67,12835296
"2016-08-05",116.28,117.04,116.13,116.78,23196570
"2016-08-08",116.82,116.87,116.28,116.65,12358181
"2016-08-09",116.73,117.29,116.67,116.92,13276458
"2016-08-10",116.96,117.02,116.31,116.62,14688405
"2016-08-11",117.01,117.37,116.78,117.12,12969799
"2016-08-12",116.91,117.21,116.79,117.2,19379036
"2016-08-15",117.33,117.97,117.31,117.7,11777762
"2016-08-16",117.47,117.49,117.03,117.05,14161446
"2016-08-17",117.08,117.3,116.43,117.26,15980334
"2016-08-18",117.15,117.46,116.94,117.29,10036285
"2016-08-19",117.1,117.52,116.76,117.26,18742961
"2016-08-22",117.09,117.55,116.87,117.35,14500622
"2016-08-23",117.79,118.01,117.51,117.56,11997927
"2016-08-24",117.49,117.64,116.41,116.8,17728656
