"","SBUX.Open","SBUX.High","SBUX.Low","SBUX.Close","SBUX.Volume"
"2016-01-07",56.88,57.91,56.16,56.69,11140877
"2016-01-14",57.51,59.43,56.92,58.98,11354120
"2016-01-21",57.84,59.38,57.67,59.03,20192570
"2016-01-28",58.29,59.42,58,59.28,11826805
"2016-02-04",59.41,59.45,57.99,58.29,13909791
"2016-02-11",53.89,55.39,53.55,54.92,12045246
"2016-02-18",57.57,57.57,56.67,56.96,8409770
"2016-02-25",58.46,58.75,58,58.75,6230343
"2016-03-03",59.12,59.2,58.2,59.04,8261870
"2016-03-10",57.51,57.86,56.92,57.52,7014488
"2016-03-17",59.47,59.98,59.37,59.55,7732818
"2016-03-24",58.7,58.79,58.28,58.36,5930071
"2016-03-31",59.77,60.21,59.68,59.7,5606633
"2016-04-07",60.59,61.54,60.54,61.17,8139195
"2016-04-14",60.26,60.4,59.91,60.13,5149970
"2016-04-21",60.9,61.1,60.48,60.64,11441322
"2016-04-28",56.59,57.36,56.32,56.42,9174505
"2016-05-05",56.37,56.77,56.01,56.25,6188141
"2016-05-12",56.57,56.79,55.82,56.3,6778730
"2016-05-19",54.43,54.62,54.19,54.55,7560321
"2016-05-26",55.55,55.87,54.95,55.29,9438963
"2016-06-02",54.9,55,54.46,54.62,8307488
"2016-06-09",55.15,55.61,55.06,55.58,5927854
"2016-06-16",54.9,55.59,54.41,55.53,7968033
"2016-06-23",55.98,56.2,55.9,56.13,5569431
"2016-06-30",56.81,57.19,56.52,57.12,10215193
"2016-07-07",56.66,57,56.47,56.91,6813347
"2016-07-14",57,57.68,56.97,57.59,11353599
"2016-07-21",57.62,57.67,57.04,57.6,16151699
"2016-07-28",57.88,58.31,57.74,58.21,6830059
"2016-08-04",56.05,56.29,55.38,55.42,11193748
"2016-08-11",55.75,55.96,55.46,55.47,6191412
"2016-08-18",55.78,55.9,55.49,55.53,5390990
"2016-08-25",57.04,57.45,56.9,57.29,6686589
"2016-09-01",56.3,56.56,55.83,56.31,6230148
"2016-09-08",56.1,56.15,55.2,55.3,12673626
"2016-09-15",53.96,54.13,53.54,54.11,8080426
