"","APA.Open","APA.High","APA.Low","APA.Close","APA.Volume"
"2015-09-24",37.03,38.4,36.54,37.88,5784116
"2015-10-01",39.92,41.02,39.31,39.72,7267814
"2015-10-08",45.85,47.63,45.67,47.15,5336384
"2015-10-15",45.46,46.84,45.23,46.75,4256944
"2015-10-22",45.41,46.34,44.91,45.97,3548687
"2015-10-29",45.71,47.45,45.58,46.58,3627090
"2015-11-05",48.33,50.94,48.07,49.27,5184939
"2015-11-12",48.31,50.06,47.3,48.9,6225865
"2015-11-19",49.65,50,48.49,49.54,2994392
"2015-12-03",47.74,48.1,45.56,45.76,5003149
"2015-12-10",44.59,46.54,44.39,46.19,4585757
"2015-12-17",44.7,45.18,42.7,42.95,8073464
"2015-12-24",46.06,46.56,45.16,45.8,1608438
"2015-12-31",44.5,45.09,44.39,44.47,2975550
"2016-01-07",37.37,38.63,36.23,36.55,7105869
"2016-01-14",35.88,37.64,35.26,37.03,6544203
"2016-01-21",34.33,37.59,34.12,37.24,7466325
"2016-01-28",40.76,40.98,38.98,40.6,4289524
"2016-02-04",42.06,43.8,40.49,40.74,7526248
"2016-02-11",34.35,35.04,33.23,34.38,5865954
"2016-02-18",40.77,40.89,37.92,38.8,6682418
"2016-02-25",37.93,38.93,36.09,37.79,7965034
"2016-03-03",41.75,45.6,41.75,45.09,10047157
"2016-03-10",45.9,46.65,44.75,46.25,5159206
"2016-03-17",49.95,51.02,49.48,50.47,4971648
"2016-03-24",47.01,48.86,46.59,48.85,4460247
"2016-03-31",48.35,49.18,48.02,48.81,3921875
"2016-04-07",49.21,50.01,48.35,49.19,2608360
"2016-04-14",52.84,53.45,52.35,52.97,1953386
"2016-04-21",54.94,55.62,54.33,54.78,3426957
"2016-04-28",56.88,57.63,55.28,55.43,2947642
"2016-05-05",51.91,55,51.52,54.82,6791658
"2016-05-12",54.97,55.6,54.24,54.3,5065268
"2016-05-19",55.82,57.21,54.27,56.98,6359413
"2016-05-26",58.49,58.82,57.45,58.03,2408362
"2016-06-02",55.51,56.01,54.86,55.84,2683986
"2016-06-09",56.22,56.96,55.65,55.83,3068912
"2016-06-16",53.62,53.62,51.91,53,3027880
"2016-06-23",57.14,58.18,56.54,58.16,3879827
"2016-06-30",55.82,56.08,55.09,55.67,3052748
"2016-07-07",55.97,56.67,54.45,54.9,2323167
"2016-07-14",57.36,57.73,56.8,56.88,1950706
"2016-07-21",54.75,55.93,53.27,53.4,2815555
"2016-07-28",51.72,52.49,51.54,51.84,1919516
"2016-08-04",51.18,52.9,49.94,50.18,5225768
"2016-08-11",49.34,50.28,48.94,49.59,3053477
"2016-08-18",51.99,53.75,51.77,53.6,3314970
"2016-08-25",52.58,53.04,51.96,52.51,1704647
"2016-09-01",49.35,49.86,48.53,49.79,3730974
"2016-09-08",56.56,59.33,56,59.05,10856939
"2016-09-15",57.21,58.74,56.9,58.7,4960317
