"","SYK.Open","SYK.High","SYK.Low","SYK.Close","SYK.Volume"
"2014-03-27",79.33,79.98,78.75,79.87,1163718
"2014-04-03",82.56,84.23,82.34,84.13,2873837
"2014-04-10",82.14,82.21,79.43,79.64,1201565
"2014-04-17",78.76,79.45,78.49,78.78,1337167
"2014-04-24",80.5,80.78,76.89,77.88,4159739
"2014-05-01",77.74,77.94,77.12,77.43,1164304
"2014-05-08",79.41,80.42,79.34,80.04,1562823
"2014-05-15",79.77,79.8,78.85,79.12,1254236
"2014-05-22",80.38,80.63,79.91,80.59,853159
"2014-05-29",83.22,83.9,83,83.89,1452891
"2014-06-05",85.46,85.95,85.24,85.78,1083794
"2014-06-12",84.82,84.82,83.51,83.78,1539082
"2014-06-19",84.6,85.67,84.6,85.64,1298340
"2014-06-26",85.23,85.23,84.55,84.61,1083948
"2014-07-03",85.53,85.72,85.11,85.63,443447
"2014-07-10",83.39,83.91,82.68,83.68,1088751
"2014-07-17",81.81,82.79,81.17,81.71,1877132
"2014-07-24",81.88,81.88,80.55,80.79,4129401
"2014-07-31",80.14,80.54,79.7,79.77,2001018
"2014-08-07",79.9,80.13,78.97,79.25,1840847
"2014-08-14",80.89,81.38,80.55,80.92,1092957
"2014-08-21",81.78,82.95,81.7,82.9,1307447
"2014-08-28",82.13,82.7,81.89,82.67,764701
"2014-09-04",83.7,84.31,83.11,83.33,886973
"2014-09-11",83.59,84.29,83.43,84.24,819478
"2014-09-18",84.45,84.59,83.67,84.07,2065794
"2014-09-25",82.15,82.16,80.93,81.23,2105446
"2014-10-02",81.1,82.08,80.92,81.74,1356455
"2014-10-09",84.07,84.74,82.87,82.92,1339565
"2014-10-16",78.59,79.99,78.35,79.2,2545907
"2014-10-23",83.48,83.93,83.1,83.53,1202618
"2014-10-30",86.18,87.24,86.16,87.04,1375214
"2014-11-06",88.27,88.75,88.05,88.55,1022144
"2014-11-13",88.79,89.24,88.37,88.84,887701
"2014-11-20",89.47,89.84,88.94,89.65,654560
"2014-12-04",94.12,95.01,93.92,94.38,617485
"2014-12-11",93.17,93.96,92.95,93.41,1469457
"2014-12-18",93.97,95.85,93.61,95.83,1727169
"2015-01-08",95.03,96,95.03,95.76,1368804
"2015-01-15",93.56,93.56,91.44,91.5,1491201
"2015-01-22",92.45,93.37,91.75,93.37,1277401
"2015-01-29",92.59,93.72,91.45,93.68,1300821
"2015-02-05",93.09,93.92,92.91,93.67,1259996
"2015-02-12",93.45,93.7,92.89,93.37,967084
"2015-02-19",95.1,95.39,94.31,94.56,839061
"2015-02-26",94.61,94.86,94.02,94.4,998217
"2015-03-05",92.35,93.13,92.34,92.99,1543540
"2015-03-12",90.55,92.04,90.46,91.95,892088
"2015-03-19",93.02,93.76,92.84,93.57,945515
