"","TDG.Open","TDG.High","TDG.Low","TDG.Close","TDG.Volume"
"2016-06-16",259.46,259.82,255.86,259.44,514147
"2016-06-23",263.06,265.58,261.86,265.35,543855
"2016-06-30",260.9,263.89,259.94,263.69,550069
"2016-07-07",262.53,264.91,261.57,262.46,386393
"2016-07-14",273.6,273.6,270.66,272.74,335898
"2016-07-21",273.96,274.38,269.9,270.91,433190
"2016-07-28",278.01,279.52,276.75,278.99,422627
"2016-08-04",278.57,279.77,276.55,277.79,249742
"2016-08-11",288.49,289.67,285.95,286.01,338483
"2016-08-18",284.31,286.21,283.67,285.16,236498
"2016-08-25",283.98,286.35,283.62,284.42,181244
"2016-09-01",285.44,287.85,284.1,287.41,270909
"2016-09-08",290.15,291.33,287.54,288.49,471797
"2016-09-15",281.4,285.38,280.33,284.32,220888
